category,n,pct
民间借贷纠纷,1841,0.15170992995467655
诈骗罪,1041,0.08578491965389369
合同纠纷,1003,0.08265348166460651
帮助信息网络犯罪活动罪,921,0.07589616810877627
开设赌场罪,914,0.07531932426864442
掩饰、隐瞒犯罪所得、犯罪所得收益罪,800,0.06592501030078286
组织、领导传销活动罪,711,0.058590852904820766
买卖合同纠纷,463,0.03815409971157808
不当得利纠纷,429,0.03535228677379481
委托合同纠纷,417,0.034363411619283066
盗窃罪,405,0.03337453646477132
网络服务合同纠纷,179,0.014750721054800164
非法吸收公众存款罪,171,0.014091470951792336
委托理财合同纠纷,161,0.01326740832303255
侵害作品信息网络传播权纠纷,161,0.01326740832303255
走私、贩卖、运输、制造毒品罪,146,0.012031314379892872
赌博罪,127,0.01046559538524928
民间委托理财合同纠纷,114,0.009394313967861558
侵犯公民个人信息罪,112,0.0092295014421096
非法侵入计算机信息系统罪,84,0.0069221260815822
著作权权属纠纷,78,0.006427688504326329
侵害商标权纠纷,71,0.005850844664194479
缺失,68,0.005603625875566543
集资诈骗罪,68,0.005603625875566543
网络域名合同纠纷,62,0.005109188298310672
服务合同纠纷,59,0.004861969509682736
非法利用信息网络罪,53,0.004367531932426864
劳动争议,51,0.004202719406674907
赠与合同纠纷,48,0.003955500618046972
返还原物纠纷,37,0.0030490317264112075
职务侵占罪,36,0.0029666254635352285
网络侵权责任纠纷,36,0.0029666254635352285
不正当竞争纠纷,36,0.0029666254635352285
妨害信用卡管理罪,35,0.00288421920065925
财产损害赔偿纠纷,35,0.00288421920065925
合同诈骗罪,34,0.0028018129377832715
合伙协议纠纷,33,0.002719406674907293
合伙合同纠纷,31,0.002554594149155336
非法拘禁罪,29,0.0023897816234033785
侵权责任纠纷,27,0.0022249690976514215
侵害外观设计专利权纠纷,26,0.002142562834775443
房屋买卖合同纠纷,25,0.0020601565718994645
劳动合同纠纷,25,0.0020601565718994645
租赁合同纠纷,24,0.001977750309023486
传播淫秽物品罪,24,0.001977750309023486
信用卡诈骗罪,23,0.0018953440461475072
计算机软件开发合同纠纷,23,0.0018953440461475072
信息网络买卖合同纠纷,23,0.0018953440461475072
侵害作品发行权纠纷,22,0.0018129377832715287
确认合同无效纠纷,21,0.00173053152039555
保证合同纠纷,20,0.0016481252575195715
房屋租赁合同纠纷,20,0.0016481252575195715
借款合同纠纷,19,0.001565718994643593
破坏计算机信息系统罪,18,0.0014833127317676143
抢劫罪,18,0.0014833127317676143
侵犯著作权罪,17,0.0014009064688916357
挪用资金罪,17,0.0014009064688916357
建设工程施工合同纠纷,16,0.0013185002060156572
计算机软件著作权许可使用合同纠纷,16,0.0013185002060156572
被继承人债务清偿纠纷,15,0.0012360939431396785
技术服务合同纠纷,15,0.0012360939431396785
侵害录音录像制作者权纠纷,14,0.0011536876802637
金融借款合同纠纷,13,0.0010712814173877215
偷越国（边）境罪,13,0.0010712814173877215
洗钱罪,12,0.000988875154511743
离婚后财产纠纷,10,0.0008240626287597857
窃取、收买、非法提供信用卡信息罪,9,0.0007416563658838071
诈骗,9,0.0007416563658838071
债权转让合同纠纷,9,0.0007416563658838071
供用电合同纠纷,9,0.0007416563658838071
离婚纠纷,9,0.0007416563658838071
劳务合同纠纷,9,0.0007416563658838071
确认合同效力纠纷,9,0.0007416563658838071
挪用公款罪,8,0.0006592501030078286
著作权权属、侵权纠纷,8,0.0006592501030078286
侵害实用新型专利权纠纷,8,0.0006592501030078286
确认不侵害著作权纠纷,8,0.0006592501030078286
婚约财产纠纷,8,0.0006592501030078286
侵害计算机软件著作权纠纷,8,0.0006592501030078286
贪污罪,7,0.00057684384013185
组织淫秽表演罪,7,0.00057684384013185
股权转让纠纷,7,0.00057684384013185
联营合同纠纷,7,0.00057684384013185
装饰装修合同纠纷,7,0.00057684384013185
合伙企业纠纷,7,0.00057684384013185
追偿权纠纷,7,0.00057684384013185
债权人撤销权纠纷,7,0.00057684384013185
股东损害公司债权人利益责任纠纷,6,0.0004944375772558715
其他行政行为,6,0.0004944375772558715
机动车交通事故责任纠纷,6,0.0004944375772558715
故意伤害罪,6,0.0004944375772558715
提供侵入、非法控制计算机信息系统程序、工具罪,6,0.0004944375772558715
广告合同纠纷,6,0.0004944375772558715
行政处罚,6,0.0004944375772558715
行政非诉执行,6,0.0004944375772558715
生命权、身体权、健康权纠纷,6,0.0004944375772558715
侵害发明专利权纠纷,6,0.0004944375772558715
网络侵害虚拟财产纠纷,5,0.00041203131437989287
受贿罪,5,0.00041203131437989287
缔约过失责任纠纷,5,0.00041203131437989287
所有权纠纷,5,0.00041203131437989287
与公司有关的纠纷,5,0.00041203131437989287
信用卡纠纷,5,0.00041203131437989287
侵害作品复制权纠纷,5,0.00041203131437989287
股东出资纠纷,4,0.0003296250515039143
发起人责任纠纷,4,0.0003296250515039143
排除妨害纠纷,4,0.0003296250515039143
组织他人偷越国（边）境罪,4,0.0003296250515039143
名誉权纠纷,4,0.0003296250515039143
案外人执行异议之诉,4,0.0003296250515039143
保管合同纠纷,4,0.0003296250515039143
商品房预售合同纠纷,4,0.0003296250515039143
清算责任纠纷,4,0.0003296250515039143
业主撤销权纠纷,4,0.0003296250515039143
商标权权属纠纷,4,0.0003296250515039143
非法获取计算机信息系统数据、非法控制计算机信息系统罪,3,0.00024721878862793575
产品责任纠纷,3,0.00024721878862793575
运输合同纠纷,3,0.00024721878862793575
物权保护纠纷,3,0.00024721878862793575
容留他人吸毒罪,3,0.00024721878862793575
著作权许可使用合同纠纷,3,0.00024721878862793575
互易纠纷,3,0.00024721878862793575
贷款诈骗罪,3,0.00024721878862793575
演出合同纠纷,3,0.00024721878862793575
共有纠纷,3,0.00024721878862793575
侵占罪,3,0.00024721878862793575
借用合同纠纷,3,0.00024721878862793575
伪造、变造、买卖国家机关公文、证件、印章罪,3,0.00024721878862793575
执行异议之诉,3,0.00024721878862793575
其他案由,3,0.00024721878862793575
行政复议,2,0.00016481252575195715
著作权合同纠纷,2,0.00016481252575195715
公益事业捐赠合同纠纷,2,0.00016481252575195715
制作、复制、出版、贩卖、传播淫秽物品牟利罪,2,0.00016481252575195715
走私普通货物、物品罪,2,0.00016481252575195715
合同、无因管理、不当得利,2,0.00016481252575195715
教育培训合同纠纷,2,0.00016481252575195715
特许经营合同纠纷,2,0.00016481252575195715
确认合同有效纠纷,2,0.00016481252575195715
商品房销售合同纠纷,2,0.00016481252575195715
行政拘留,2,0.00016481252575195715
窝藏、包庇罪,2,0.00016481252575195715
建设工程合同纠纷,2,0.00016481252575195715
抵押合同纠纷,2,0.00016481252575195715
走私、贩卖、运输、制造毒品,2,0.00016481252575195715
损害公司债权人利益责任纠纷,2,0.00016481252575195715
行政强制,2,0.00016481252575195715
