category,n,pct
2010,17,0.0014009064688916357
2011,4,0.0003296250515039143
2012,6,0.0004944375772558715
2013,41,0.0033786567779151215
2014,149,0.012278533168520808
2015,177,0.014585908529048208
2016,274,0.022579316028018128
2017,562,0.046312319736299956
2018,871,0.07177585496497733
2019,1455,0.11990111248454882
2020,2050,0.16893283889575608
2021,2252,0.18557890399670374
2022,1305,0.10754017305315204
2023,1397,0.11512154923774207
2024,1559,0.1284713638236506
2025,13,0.0010712814173877215
缺失/无法解析,3,0.00024721878862793575
