category,n,pct
广东,1393,0.11479192418623815
浙江,1176,0.0969097651421508
湖南,902,0.07433044911413267
河南,814,0.06707869798104656
山东,754,0.062134322208487844
福建,712,0.058673259167696744
江苏,566,0.046641944787803875
四川,544,0.044829007004532344
上海,535,0.044087350638648534
北京,467,0.038483724763082
安徽,405,0.03337453646477132
湖北,401,0.03304491141326741
江西,376,0.030984754841367944
陕西,348,0.028677379480840544
辽宁,320,0.026370004120313144
河北,283,0.023320972393901938
云南,267,0.022002472187886278
广西,248,0.020436753193242688
黑龙江,240,0.019777503090234856
吉林,221,0.018211784095591266
重庆,186,0.015327564894932014
内蒙古,185,0.015245158632056036
新疆,163,0.013432220848784508
山西,161,0.01326740832303255
甘肃,135,0.011124845488257108
天津,108,0.008899876390605686
贵州,97,0.007993407498969922
宁夏,51,0.004202719406674907
海南,29,0.0023897816234033785
全国/最高法,23,0.0018953440461475072
青海,23,0.0018953440461475072
西藏,1,8.240626287597858e-05
未识别,1,8.240626287597858e-05
