field,kind,tp,fp,fn,gold_positive,pred_positive,precision,recall,f1,documents,exact_documents,exact_match_rate,gold_nonempty_docs,pred_nonempty_docs
case_amount,scalar,93,13,20,113,106,0.8773584905660378,0.8230088495575221,0.8493150684931506,122,102,0.8360655737704918,113,106
metadata.case_number,scalar,121,1,1,122,122,0.9918032786885246,0.9918032786885246,0.9918032786885246,122,121,0.9918032786885246,122,122
metadata.court_name,scalar,116,6,6,122,122,0.9508196721311475,0.9508196721311475,0.9508196721311475,122,116,0.9508196721311475,122,122
metadata.court_level,scalar,122,0,0,122,122,1.0,1.0,1.0,122,122,1.0,122,122
metadata.judgment_date,scalar,122,0,0,122,122,1.0,1.0,1.0,122,122,1.0,122,122
metadata.first_instance_case_number,scalar,0,0,0,0,0,0.0,0.0,0.0,122,122,1.0,0,0
metadata.region,scalar,120,2,2,122,122,0.9836065573770492,0.9836065573770492,0.9836065573770492,122,120,0.9836065573770492,122,122
metadata.doc_type,scalar,95,27,27,122,122,0.7786885245901639,0.7786885245901639,0.7786885245901639,122,95,0.7786885245901639,122,122
case_profile.case_type_primary,scalar,122,0,0,122,122,1.0,1.0,1.0,122,122,1.0,122,122
case_profile.case_type_secondary,scalar,97,25,25,122,122,0.7950819672131147,0.7950819672131147,0.7950819672131149,122,97,0.7950819672131147,122,122
case_profile.procedure_stage,scalar,122,0,0,122,122,1.0,1.0,1.0,122,122,1.0,122,122
case_profile.is_appeal,scalar,122,0,0,122,122,1.0,1.0,1.0,122,122,1.0,122,122
case_profile.litigant_profile.plaintiff_types,list,116,3,8,124,119,0.9747899159663865,0.9354838709677419,0.9547325102880658,122,114,0.9344262295081968,122,119
case_profile.litigant_profile.defendant_types,list,127,3,2,129,130,0.9769230769230769,0.9844961240310077,0.9806949806949806,122,119,0.9754098360655737,122,122
virtual_currency_info.involved,scalar,120,2,2,122,122,0.9836065573770492,0.9836065573770492,0.9836065573770492,122,120,0.9836065573770492,122,122
virtual_currency_info.currency_types,list,96,39,57,153,135,0.7111111111111111,0.6274509803921569,0.6666666666666666,122,71,0.5819672131147541,102,103
virtual_currency_info.activity_type,scalar,78,25,27,105,103,0.7572815533980582,0.7428571428571429,0.7499999999999999,122,95,0.7786885245901639,105,103
judicial_analysis.legal_characterization,scalar,100,22,22,122,122,0.819672131147541,0.819672131147541,0.819672131147541,122,100,0.819672131147541,122,122
judicial_analysis.virtual_currency_property_legality,scalar,72,21,19,91,93,0.7741935483870968,0.7912087912087912,0.7826086956521738,122,93,0.7622950819672131,91,93
judicial_analysis.contract_validity,scalar,39,0,7,46,39,1.0,0.8478260869565217,0.9176470588235294,122,115,0.9426229508196722,46,39
judicial_analysis.reason_for_invalidity,list,21,9,12,33,30,0.7,0.6363636363636364,0.6666666666666666,122,111,0.9098360655737705,15,15
judicial_analysis.cited_laws,list,633,90,95,728,723,0.8755186721991701,0.8695054945054945,0.87250172294969,122,80,0.6557377049180327,122,122
judicial_analysis.cited_policies,list,8,15,5,13,23,0.34782608695652173,0.6153846153846154,0.4444444444444444,122,110,0.9016393442622951,12,18
judicial_analysis.judicial_framing,list,127,110,379,506,237,0.5358649789029536,0.2509881422924901,0.34185733512786004,122,7,0.05737704918032787,122,119
llm_summary.outcome_summary,scalar,14,108,108,122,122,0.11475409836065574,0.11475409836065574,0.11475409836065574,122,14,0.11475409836065574,122,122
llm_summary.reasoning_summary,scalar,0,122,122,122,122,0.0,0.0,0.0,122,0,0.0,122,122
