cause_group,rows,validity_n,invalid_n,invalid_rate,amount_n,amount_median,llm_amount_n,regex_amount_n
民间借贷纠纷,1769,1769,635.0,0.35895986433013,1767,100000.0,1756,1767
合同纠纷,984,984,482.0,0.4898373983739837,983,96000.0,959,983
买卖合同纠纷,457,457,224.0,0.49015317286652077,457,100000.0,451,457
委托合同纠纷,409,409,199.0,0.48655256723716384,409,100000.0,399,409
不当得利纠纷,250,250,191.0,0.764,250,70281.0,244,250
网络服务合同纠纷,174,174,16.0,0.09195402298850575,174,20000.0,165,174
委托理财合同纠纷,158,158,105.0,0.6645569620253164,158,102096.5,153,158
民间委托理财合同纠纷,113,113,86.0,0.7610619469026548,113,111490.0,112,113
网络域名合同纠纷,59,59,6.0,0.1016949152542373,59,18994.66,59,59
服务合同纠纷,57,57,11.0,0.19298245614035087,57,105000.0,53,57
赠与合同纠纷,46,46,29.0,0.6304347826086957,46,214002.94,45,46
合伙协议纠纷,32,32,5.0,0.15625,32,72767.7,32,32
劳动争议,31,31,3.0,0.0967741935483871,31,116465.52,27,31
合伙合同纠纷,31,31,17.0,0.5483870967741935,31,98046.48,31,31
返还原物纠纷,29,29,15.0,0.5172413793103449,28,140000.0,22,28
房屋买卖合同纠纷,25,25,3.0,0.12,25,274523.0,24,25
信息网络买卖合同纠纷,23,23,6.0,0.2608695652173913,23,25678.0,23,23
租赁合同纠纷,23,23,2.0,0.08695652173913043,23,80323.37,22,23
计算机软件开发合同纠纷,23,23,3.0,0.13043478260869565,23,100000.0,23,23
确认合同无效纠纷,21,21,18.0,0.8571428571428571,21,290396.0,18,21
网络侵权责任纠纷,21,21,5.0,0.23809523809523808,21,51788.55,19,21
保证合同纠纷,20,20,14.0,0.7,20,30450.0,20,20
借款合同纠纷,19,19,8.0,0.42105263157894735,19,300000.0,19,19
房屋租赁合同纠纷,19,19,6.0,0.3157894736842105,19,100230.0,19,19
财产损害赔偿纠纷,17,17,9.0,0.5294117647058824,17,110000.0,17,17
建设工程施工合同纠纷,16,16,11.0,0.6875,16,1135214.2650000001,16,16
计算机软件著作权许可使用合同纠纷,15,15,0.0,0.0,15,155828.4,15,15
劳动合同纠纷,14,14,2.0,0.14285714285714285,14,40864.0,13,14
被继承人债务清偿纠纷,14,14,2.0,0.14285714285714285,14,123390.0,14,14
金融借款合同纠纷,13,13,0.0,0.0,13,149461.51,13,13
侵权责任纠纷,11,11,6.0,0.5454545454545454,11,235494.2,10,11
技术服务合同纠纷,10,10,0.0,0.0,10,50000.0,10,10
债权转让合同纠纷,9,9,4.0,0.4444444444444444,9,156000.0,9,9
劳务合同纠纷,9,9,1.0,0.1111111111111111,9,55000.0,8,9
确认合同效力纠纷,9,9,4.0,0.4444444444444444,9,328790.0,9,9
不正当竞争纠纷,8,8,5.0,0.625,8,550000.0,8,8
供用电合同纠纷,8,8,0.0,0.0,8,282451.93,7,8
侵害商标权纠纷,8,8,4.0,0.5,8,65000.0,8,8
合伙企业纠纷,7,7,1.0,0.14285714285714285,7,43500.0,7,7
联营合同纠纷,7,7,0.0,0.0,7,1071369.3,7,7
股权转让纠纷,7,7,1.0,0.14285714285714285,7,300000.0,7,7
追偿权纠纷,7,7,1.0,0.14285714285714285,7,159521.0,7,7
侵害作品信息网络传播权纠纷,6,6,3.0,0.5,6,117500.0,6,6
广告合同纠纷,6,6,1.0,0.16666666666666666,6,212500.0,6,6
未分类,6,6,2.0,0.3333333333333333,6,33096.5,6,6
装饰装修合同纠纷,6,6,2.0,0.3333333333333333,6,30525.0,6,6
信用卡纠纷,5,5,0.0,0.0,5,77271.66,5,5
离婚后财产纠纷,5,5,0.0,0.0,5,400000.0,3,5
股东损害公司债权人利益责任纠纷,5,5,1.0,0.2,5,161000.0,5,5
与公司有关的纠纷,4,4,1.0,0.25,4,90000.0,4,4
