region_province,rows,validity_n,invalid_n,invalid_rate,amount_n,amount_median,llm_amount_n,regex_amount_n
广东,731,731,268.0,0.36662106703146374,731,121912.0,715,731
山东,468,468,285.0,0.6089743589743589,468,57456.0,459,468
浙江,373,373,137.0,0.3672922252010724,373,139169.82,370,373
北京,340,340,84.0,0.24705882352941178,340,135926.95,319,340
江苏,288,288,133.0,0.4618055555555556,288,140249.5,286,288
福建,275,275,103.0,0.37454545454545457,275,97248.89,269,275
四川,269,269,125.0,0.4646840148698885,269,150000.0,264,269
湖南,244,244,128.0,0.5245901639344263,244,69000.0,239,244
河南,240,240,122.0,0.5083333333333333,240,60000.0,235,240
上海,221,221,84.0,0.38009049773755654,221,146600.0,208,221
湖北,191,191,100.0,0.5235602094240838,191,81450.0,190,191
辽宁,177,177,62.0,0.3502824858757062,177,80000.0,175,177
云南,175,175,53.0,0.3028571428571429,175,80000.0,173,175
陕西,156,156,80.0,0.5128205128205128,154,100000.0,151,154
安徽,141,141,56.0,0.3971631205673759,141,98740.0,138,141
江西,138,138,50.0,0.36231884057971014,137,90000.0,137,137
重庆,102,102,46.0,0.45098039215686275,102,100000.0,101,102
广西,98,98,45.0,0.45918367346938777,97,110339.0,95,97
新疆,88,88,47.0,0.5340909090909091,88,125976.14499999999,87,88
河北,81,81,32.0,0.3950617283950617,81,54000.0,81,81
内蒙古,70,70,28.0,0.4,70,100000.0,70,70
吉林,65,65,21.0,0.3230769230769231,65,50000.0,62,65
黑龙江,58,58,18.0,0.3103448275862069,58,68000.0,57,58
山西,38,38,16.0,0.42105263157894735,38,83925.0,37,38
贵州,36,36,15.0,0.4166666666666667,36,65676.25,36,36
天津,33,33,17.0,0.5151515151515151,33,100000.0,31,33
宁夏,22,22,15.0,0.6818181818181818,22,33250.0,21,22
甘肃,22,22,16.0,0.7272727272727273,22,68867.5,22,22
青海,12,12,5.0,0.4166666666666667,12,183050.0,12,12
,10,10,2.0,0.2,10,175000.0,10,10
海南,7,7,3.0,0.42857142857142855,7,68000.0,7,7
全国,1,1,0.0,0.0,1,100000.0,1,1
