year,rows,validity_n,invalid_n,invalid_rate,amount_n,amount_median,llm_amount_n,regex_amount_n
2021.0,1026,1026,417.0,0.4064327485380117,1026,106250.0,1001,1026
2020.0,866,866,317.0,0.36605080831408776,866,118038.86499999999,850,866
2022.0,789,789,378.0,0.4790874524714829,788,100000.0,770,788
2024.0,684,684,356.0,0.52046783625731,682,90000.0,672,682
2019.0,638,638,288.0,0.45141065830721006,637,74500.0,632,637
2023.0,634,634,299.0,0.471608832807571,634,100000.0,621,634
2018.0,280,280,88.0,0.3142857142857143,280,100000.0,264,280
2017.0,151,151,38.0,0.25165562913907286,151,80000.0,151,151
2016.0,54,54,10.0,0.18518518518518517,54,78056.5,53,54
2014.0,31,31,4.0,0.12903225806451613,31,50000.0,28,31
2015.0,17,17,1.0,0.058823529411764705,17,37300.0,16,17
