field,nonempty_n,nonempty_rate,total
case_amount,11801,0.9724763081994231,12135
judgment_date,12134,0.999917593737124,12135
court_name,12134,0.999917593737124,12135
case_type_primary,12134,0.999917593737124,12135
case_type_secondary,12133,0.999835187474248,12135
procedure_stage,12134,0.999917593737124,12135
activity_type,10177,0.8386485372888339,12135
contract_validity,5723,0.47161104243922536,12135
legal_characterization,12133,0.999835187474248,12135
vc_property_legality,9398,0.7744540585084466,12135
cited_laws,12134,0.999917593737124,12135
cited_policies,12134,0.999917593737124,12135
judicial_framing,12134,0.999917593737124,12135
