group_variable,group,pre2021_n,post2021_n,pre2021_invalid_rate,post2021_invalid_rate,diff_post_minus_pre
transaction_type,借贷,533.0,909.0,0.2570356472795497,0.3256325632563256,0.06859691597677592
transaction_type,投资/理财,669.0,1034.0,0.593423019431988,0.6499032882011605,0.05648026876917245
transaction_type,交易/买卖,241.0,403.0,0.4149377593360996,0.5483870967741935,0.1334493374380939
transaction_type,ICO/发币,9.0,11.0,0.5555555555555556,0.9090909090909091,0.3535353535353535
transaction_type,挖矿,103.0,218.0,0.13592233009708737,0.5688073394495413,0.43288500935245394
transaction_type,技术服务,104.0,125.0,0.0673076923076923,0.12,0.05269230769230769
transaction_type,其他民商事,293.0,333.0,0.21843003412969283,0.2732732732732733,0.05484323914358044
transaction_type,其他/未分类,85.0,100.0,0.25882352941176473,0.21,-0.04882352941176474
transaction_type,未分类,0.0,0.0,,,
amount_quartile,Q1,598.0,806.0,0.41638795986622074,0.4640198511166253,0.04763189125040457
amount_quartile,Q2,659.0,1112.0,0.3490136570561457,0.4577338129496403,0.1087201558934946
amount_quartile,Q3,541.0,901.0,0.36968576709796674,0.4794672586015538,0.10978149150358707
amount_quartile,Q4,237.0,310.0,0.28270042194092826,0.432258064516129,0.14955764257520077
amount_quartile,missing,2.0,4.0,0.0,0.25,0.25
region_macro,东北,111.0,189.0,0.22522522522522523,0.4021164021164021,0.17689117689117687
region_macro,东部,1186.0,1631.0,0.3591905564924115,0.4414469650521153,0.08225640855970379
region_macro,中部,415.0,577.0,0.42409638554216866,0.512998266897747,0.0889018813555783
region_macro,未映射,4.0,7.0,0.0,0.2857142857142857,0.2857142857142857
region_macro,西部,321.0,729.0,0.3707165109034268,0.4883401920438957,0.11762368114046895
region_big4,0,1353.0,2152.0,0.4198078344419808,0.4902416356877323,0.07043380124575155
region_big4,1,684.0,981.0,0.260233918128655,0.4026503567787971,0.14241643865014214
