model,nobs,rsquared,dep_mean,note,error
m0_post2017_baseline,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m1_policy_baseline,5058,0.13407354459329313,0.4211150652431791,"Civil main sample; 2021 post indicator, master amount, amount-quality flags, court level and cause controls.",
m2_transaction_types,5058,0.19488017338835728,0.4211150652431791,Adds compressed transaction types.,
m3_policy_by_transaction,5058,0.2022392030661211,0.4211150652431791,Policy effect heterogeneity by transaction type.,
m4_amount_quartiles,5056,0.19637051700617514,0.4212816455696203,Uses amount quartiles instead of linear log amount.,
m5_policy_by_q4_amount,5058,0.19592591139422133,0.4211150652431791,Policy effect heterogeneity for top amount quartile.,
m6_llm_amount,5058,0.19488017338835728,0.4211150652431791,Uses LLM top-level case amount.,
m7_regex_amount,5058,0.19682876252729875,0.4211150652431791,Uses full-text regex maximum amount.,
m8_region_big4,5048,0.19777593058240062,0.4215530903328051,Adds Big4 region indicator.,
m9_policy_by_big4,5048,0.1985099734647342,0.4215530903328051,Policy effect heterogeneity by Big4 region.,
m10_region_macro,5048,0.19686300538807977,0.4215530903328051,Adds macro-region categories.,
m11_strict_dv,4987,0.1966298025886546,0.41287347102466415,Strict DV robustness.,
m12_event_study,5030,0.20375641779915699,0.4226640159045726,Event study around 2021; 2020 is omitted reference year.,
