doc_id,field,match,dsv4_value,gpt55_gold_value
0f24f20c-5d9f-41c8-9d56-ace501843d7a,case_amount,1,2400000,2400000
0f24f20c-5d9f-41c8-9d56-ace501843d7a,case_amount_type,1,"""诈骗金额""","""诈骗金额"""
0f24f20c-5d9f-41c8-9d56-ace501843d7a,metadata.case_number,1,"""(2019)甘0102刑初1033号""","""(2019)甘0102刑初1033号"""
0f24f20c-5d9f-41c8-9d56-ace501843d7a,metadata.court_name,1,"""兰州市城关区人民法院""","""兰州市城关区人民法院"""
0f24f20c-5d9f-41c8-9d56-ace501843d7a,metadata.court_level,1,"""基层法院""","""基层法院"""
0f24f20c-5d9f-41c8-9d56-ace501843d7a,metadata.judgment_date,1,"""2021-01-15""","""2021-01-15"""
0f24f20c-5d9f-41c8-9d56-ace501843d7a,metadata.first_instance_case_number,1,null,null
0f24f20c-5d9f-41c8-9d56-ace501843d7a,metadata.region,1,"""甘肃""","""甘肃"""
0f24f20c-5d9f-41c8-9d56-ace501843d7a,metadata.doc_type,1,"""判决书""","""判决书"""
0f24f20c-5d9f-41c8-9d56-ace501843d7a,case_profile.case_type_primary,1,"""刑事""","""刑事"""
0f24f20c-5d9f-41c8-9d56-ace501843d7a,case_profile.case_type_secondary,1,"""合同诈骗罪""","""合同诈骗罪"""
0f24f20c-5d9f-41c8-9d56-ace501843d7a,case_profile.procedure_stage,1,"""一审""","""一审"""
0f24f20c-5d9f-41c8-9d56-ace501843d7a,case_profile.is_appeal,1,false,false
0f24f20c-5d9f-41c8-9d56-ace501843d7a,case_profile.litigant_profile.plaintiff_types,1,"[""\""人民检察院\""""]","[""\""人民检察院\""""]"
0f24f20c-5d9f-41c8-9d56-ace501843d7a,case_profile.litigant_profile.defendant_types,1,"[""\""自然人\""""]","[""\""自然人\""""]"
0f24f20c-5d9f-41c8-9d56-ace501843d7a,virtual_currency_info.involved,1,true,true
0f24f20c-5d9f-41c8-9d56-ace501843d7a,virtual_currency_info.currency_types,0,"[""\""虚拟货币\""""]","[""\""ZIRC\"""", ""\""虚拟货币\""""]"
0f24f20c-5d9f-41c8-9d56-ace501843d7a,virtual_currency_info.activity_types,1,"[""\""其他\""""]","[""\""其他\""""]"
0f24f20c-5d9f-41c8-9d56-ace501843d7a,judicial_analysis.legal_characterization,1,"""合同诈骗罪""","""合同诈骗罪"""
0f24f20c-5d9f-41c8-9d56-ace501843d7a,judicial_analysis.virtual_currency_property_status,1,"""未明确""","""未明确"""
0f24f20c-5d9f-41c8-9d56-ace501843d7a,judicial_analysis.transaction_legality_assessment,1,"""不适用""","""不适用"""
0f24f20c-5d9f-41c8-9d56-ace501843d7a,judicial_analysis.contract_validity,1,"""不适用""","""不适用"""
0f24f20c-5d9f-41c8-9d56-ace501843d7a,judicial_analysis.reasons_for_invalidity_or_no_protection,1,[],[]
0f24f20c-5d9f-41c8-9d56-ace501843d7a,judicial_analysis.cited_laws,1,"[""\""《中华人民共和国刑法》第二百二十四条\"""", ""\""《中华人民共和国刑法》第六十四条\""""]","[""\""《中华人民共和国刑法》第二百二十四条\"""", ""\""《中华人民共和国刑法》第六十四条\""""]"
0f24f20c-5d9f-41c8-9d56-ace501843d7a,judicial_analysis.cited_policies,1,[],[]
0f24f20c-5d9f-41c8-9d56-ace501843d7a,judicial_analysis.policy_labels,1,[],[]
0f24f20c-5d9f-41c8-9d56-ace501843d7a,judicial_analysis.judicial_framing,1,"[""\""其他\""""]","[""\""其他\""""]"
0f24f20c-5d9f-41c8-9d56-ace501843d7a,low_confidence_fields,0,[],"[""\""court_name\""""]"
22b20f1d-ea23-4fde-ab48-ad57012543f5,case_amount,1,1488037.5,1488037.5
22b20f1d-ea23-4fde-ab48-ad57012543f5,case_amount_type,1,"""犯罪金额""","""犯罪金额"""
22b20f1d-ea23-4fde-ab48-ad57012543f5,metadata.case_number,1,"""(2020)苏0981刑初780号""","""(2020)苏0981刑初780号"""
22b20f1d-ea23-4fde-ab48-ad57012543f5,metadata.court_name,1,"""东台市人民法院""","""东台市人民法院"""
22b20f1d-ea23-4fde-ab48-ad57012543f5,metadata.court_level,1,"""基层法院""","""基层法院"""
22b20f1d-ea23-4fde-ab48-ad57012543f5,metadata.judgment_date,1,"""2021-03-30""","""2021-03-30"""
22b20f1d-ea23-4fde-ab48-ad57012543f5,metadata.first_instance_case_number,1,null,null
22b20f1d-ea23-4fde-ab48-ad57012543f5,metadata.region,1,"""江苏""","""江苏"""
22b20f1d-ea23-4fde-ab48-ad57012543f5,metadata.doc_type,1,"""判决书""","""判决书"""
22b20f1d-ea23-4fde-ab48-ad57012543f5,case_profile.case_type_primary,1,"""刑事""","""刑事"""
