field,tp,fp,fn,tn,precision,recall,f1,accuracy
case_amount,8,1,2,0,0.8888888888888888,0.8,0.8421052631578948,0.7272727272727273
case_amount_type,6,3,4,0,0.6666666666666666,0.6,0.631578947368421,0.46153846153846156
metadata.case_number,10,0,0,0,1.0,1.0,1.0,1.0
metadata.court_name,10,0,0,0,1.0,1.0,1.0,1.0
metadata.court_level,10,0,0,0,1.0,1.0,1.0,1.0
metadata.judgment_date,10,0,0,0,1.0,1.0,1.0,1.0
metadata.first_instance_case_number,0,0,0,10,1.0,1.0,1.0,1.0
metadata.region,10,0,0,0,1.0,1.0,1.0,1.0
metadata.doc_type,10,0,0,0,1.0,1.0,1.0,1.0
case_profile.case_type_primary,10,0,0,0,1.0,1.0,1.0,1.0
case_profile.case_type_secondary,9,1,1,0,0.9,0.9,0.9,0.8181818181818182
case_profile.procedure_stage,10,0,0,0,1.0,1.0,1.0,1.0
case_profile.is_appeal,10,0,0,0,1.0,1.0,1.0,1.0
case_profile.litigant_profile.plaintiff_types,10,0,0,0,1.0,1.0,1.0,1.0
case_profile.litigant_profile.defendant_types,10,0,0,0,1.0,1.0,1.0,1.0
virtual_currency_info.involved,10,0,0,0,1.0,1.0,1.0,1.0
virtual_currency_info.currency_types,3,7,7,0,0.3,0.3,0.3,0.17647058823529413
virtual_currency_info.activity_types,4,6,6,0,0.4,0.4,0.4000000000000001,0.25
judicial_analysis.legal_characterization,8,2,1,0,0.8,0.8888888888888888,0.8421052631578948,0.7272727272727273
judicial_analysis.virtual_currency_property_status,10,0,0,0,1.0,1.0,1.0,1.0
judicial_analysis.transaction_legality_assessment,7,3,3,0,0.7,0.7,0.7,0.5384615384615384
judicial_analysis.contract_validity,8,2,2,0,0.8,0.8,0.8000000000000002,0.6666666666666666
judicial_analysis.reasons_for_invalidity_or_no_protection,1,2,2,7,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
judicial_analysis.cited_laws,7,3,3,0,0.7,0.7,0.7,0.5384615384615384
judicial_analysis.cited_policies,0,0,0,10,1.0,1.0,1.0,1.0
judicial_analysis.policy_labels,0,0,0,10,1.0,1.0,1.0,1.0
judicial_analysis.judicial_framing,6,3,4,0,0.6666666666666666,0.6,0.631578947368421,0.46153846153846156
low_confidence_fields,0,1,5,5,0.0,0.0,0.0,0.45454545454545453
