cause_group,cause_code,n
民间借贷纠纷,Cause00,1769
合同纠纷,Cause01,984
买卖合同纠纷,Cause02,457
委托合同纠纷,Cause03,409
不当得利纠纷,Cause04,250
网络服务合同纠纷,Cause05,174
委托理财合同纠纷,Cause06,158
民间委托理财合同纠纷,Cause07,113
网络域名合同纠纷,Cause08,59
服务合同纠纷,Cause09,57
赠与合同纠纷,Cause10,46
合伙协议纠纷,Cause11,32
劳动争议,Cause12,31
合伙合同纠纷,Cause13,31
返还原物纠纷,Cause14,29
房屋买卖合同纠纷,Cause15,25
计算机软件开发合同纠纷,Cause16,23
信息网络买卖合同纠纷,Cause17,23
租赁合同纠纷,Cause18,23
网络侵权责任纠纷,Cause19,21
确认合同无效纠纷,CauseOther,21
保证合同纠纷,CauseOther,20
房屋租赁合同纠纷,CauseOther,19
借款合同纠纷,CauseOther,19
财产损害赔偿纠纷,CauseOther,17
建设工程施工合同纠纷,CauseOther,16
计算机软件著作权许可使用合同纠纷,CauseOther,15
劳动合同纠纷,CauseOther,14
被继承人债务清偿纠纷,CauseOther,14
金融借款合同纠纷,CauseOther,13
侵权责任纠纷,CauseOther,11
技术服务合同纠纷,CauseOther,10
确认合同效力纠纷,CauseOther,9
劳务合同纠纷,CauseOther,9
债权转让合同纠纷,CauseOther,9
侵害商标权纠纷,CauseOther,8
供用电合同纠纷,CauseOther,8
不正当竞争纠纷,CauseOther,8
合伙企业纠纷,CauseOther,7
追偿权纠纷,CauseOther,7
联营合同纠纷,CauseOther,7
股权转让纠纷,CauseOther,7
装饰装修合同纠纷,CauseOther,6
广告合同纠纷,CauseOther,6
未分类,CauseOther,6
侵害作品信息网络传播权纠纷,CauseOther,6
离婚后财产纠纷,CauseOther,5
股东损害公司债权人利益责任纠纷,CauseOther,5
信用卡纠纷,CauseOther,5
保管合同纠纷,CauseOther,4
与公司有关的纠纷,CauseOther,4
债权人撤销权纠纷,CauseOther,4
业主撤销权纠纷,CauseOther,4
清算责任纠纷,CauseOther,4
商品房预售合同纠纷,CauseOther,4
发起人责任纠纷,CauseOther,4
网络侵害虚拟财产纠纷,CauseOther,4
著作权权属纠纷,CauseOther,3
缔约过失责任纠纷,CauseOther,3
物权保护纠纷,CauseOther,3
股东出资纠纷,CauseOther,3
互易纠纷,CauseOther,3
侵害外观设计专利权纠纷,CauseOther,3
借用合同纠纷,CauseOther,3
著作权许可使用合同纠纷,CauseOther,3
执行异议之诉,CauseOther,3
所有权纠纷,CauseOther,3
婚约财产纠纷,CauseOther,3
演出合同纠纷,CauseOther,3
运输合同纠纷,CauseOther,3
车辆租赁合同纠纷,CauseOther,2
抵押合同纠纷,CauseOther,2
案外人执行异议之诉,CauseOther,2
离婚纠纷,CauseOther,2
债券质权纠纷,CauseOther,2
特许经营合同纠纷,CauseOther,2
损害公司债权人利益责任纠纷,CauseOther,2
建设工程合同纠纷,CauseOther,2
行纪合同纠纷,CauseOther,2
确认合同有效纠纷,CauseOther,2
教育培训合同纠纷,CauseOther,2
著作权合同纠纷,CauseOther,2
公益事业捐赠合同纠纷,CauseOther,2
定金合同纠纷,CauseOther,2
合同、无因管理、不当得利,CauseOther,2
定作合同纠纷,CauseOther,2
损害公司利益责任纠纷,CauseOther,1
旅游合同纠纷,CauseOther,1
物业服务合同纠纷,CauseOther,1
共有纠纷,CauseOther,1
修理合同纠纷,CauseOther,1
银行卡纠纷,CauseOther,1
债务加入纠纷,CauseOther,1
仓储合同纠纷,CauseOther,1
名誉权纠纷,CauseOther,1
技术合同纠纷,CauseOther,1
占有物返还纠纷,CauseOther,1
餐饮服务合同纠纷,CauseOther,1
排除妨害纠纷,CauseOther,1
中介合同纠纷,CauseOther,1
融资租赁合同纠纷,CauseOther,1
企业承包经营合同纠纷,CauseOther,1
财产损失保险合同纠纷,CauseOther,1
法律服务合同纠纷,CauseOther,1
竞业限制纠纷,CauseOther,1
分期付款买卖合同纠纷,CauseOther,1
债务转移合同纠纷,CauseOther,1
人身保险合同纠纷,CauseOther,1
物权纠纷,CauseOther,1
追加、变更被执行人异议之诉,CauseOther,1
土地租赁合同纠纷,CauseOther,1
技术委托开发合同纠纷,CauseOther,1
商品房销售合同纠纷,CauseOther,1
娱乐服务合同纠纷,CauseOther,1
财产保险合同纠纷,CauseOther,1
房屋拆迁安置补偿合同纠纷,CauseOther,1
股东资格确认纠纷,CauseOther,1
所有权确认纠纷,CauseOther,1
再保险合同纠纷,CauseOther,1
保险代理合同纠纷,CauseOther,1
消费者权益保护民事公益诉讼,CauseOther,1
储蓄存款合同纠纷,CauseOther,1
侵害作品改编权纠纷,CauseOther,1
种植、养殖回收合同纠纷,CauseOther,1
侵害发明专利权纠纷,CauseOther,1
铁路运输财产损害责任纠纷,CauseOther,1
合作创作合同纠纷,CauseOther,1
肖像权纠纷,CauseOther,1
机动车交通事故责任纠纷,CauseOther,1
合同、准合同纠纷,CauseOther,1
悬赏广告纠纷,CauseOther,1
担保物权确认纠纷,CauseOther,1
