province_cluster,n,invalid_rate,strict_invalid_rate,post2021_share,amount_median,amount_mean
广东,731,0.36662106703146374,0.36049723756906077,0.5978112175102599,121912.0,604414.5326147879
山东,468,0.6089743589743589,0.6021739130434782,0.5662393162393162,57456.0,205634.42873931624
浙江,373,0.3672922252010724,0.3604336043360434,0.47989276139410186,139169.82,414709.57109785517
北京,340,0.24705882352941178,0.23353293413173654,0.6441176470588236,135926.95,946762.2408529412
江苏,288,0.4618055555555556,0.450354609929078,0.5590277777777778,140249.5,407913.8660590278
福建,275,0.37454545454545457,0.36996336996337,0.5527272727272727,97248.89,445903.12676363636
四川,269,0.4646840148698885,0.4524714828897338,0.654275092936803,150000.0,662322.0544237918
湖南,244,0.5245901639344263,0.522633744855967,0.5942622950819673,69000.0,489696.6639754099
河南,240,0.5083333333333333,0.5042016806722689,0.5875,60000.0,399478.26070833334
上海,221,0.38009049773755654,0.35377358490566035,0.6606334841628959,146600.0,669177.0598190045
湖北,191,0.5235602094240838,0.5185185185185185,0.6387434554973822,81450.0,358850.08413612563
辽宁,177,0.3502824858757062,0.3502824858757062,0.7005649717514124,80000.0,313180.82774011296
云南,175,0.3028571428571429,0.28654970760233917,0.7314285714285714,80000.0,239600.0176571429
陕西,156,0.5128205128205128,0.5032679738562091,0.7435897435897436,100000.0,264339.4385064935
安徽,141,0.3971631205673759,0.3795620437956204,0.5177304964539007,98740.0,610847.6609929078
江西,138,0.36231884057971014,0.34814814814814815,0.572463768115942,90000.0,597425.5145255474
重庆,102,0.45098039215686275,0.44554455445544555,0.6666666666666666,100000.0,477062.64137254906
广西,98,0.45918367346938777,0.45918367346938777,0.6326530612244898,110339.0,255241.5487628866
新疆,88,0.5340909090909091,0.5340909090909091,0.7613636363636364,125976.14499999999,477943.4243181819
河北,81,0.3950617283950617,0.3950617283950617,0.5432098765432098,54000.0,277462.5388888889
内蒙古,70,0.4,0.4,0.6571428571428571,100000.0,524286.0144285714
吉林,65,0.3230769230769231,0.3230769230769231,0.5538461538461539,50000.0,214291.29046153845
黑龙江,58,0.3103448275862069,0.3103448275862069,0.5,68000.0,235456.6398275862
山西,38,0.42105263157894735,0.42105263157894735,0.4473684210526316,83925.0,239844.6657894737
贵州,36,0.4166666666666667,0.4166666666666667,0.6944444444444444,65676.25,141164.8061111111
天津,33,0.5151515151515151,0.5,0.7575757575757576,100000.0,233329.8393939394
宁夏,22,0.6818181818181818,0.6818181818181818,0.7272727272727273,33250.0,117221.75
甘肃,22,0.7272727272727273,0.7,0.6818181818181818,68867.5,247748.04090909092
青海,12,0.4166666666666667,0.4166666666666667,0.8333333333333334,183050.0,1026062.6749999999
未映射,10,0.2,0.2,0.6,175000.0,1124881.936
海南,7,0.42857142857142855,0.42857142857142855,0.42857142857142855,68000.0,239504.91142857142
全国,1,0.0,0.0,1.0,100000.0,100000.0
