year_int,n,invalid_rate,strict_invalid_rate,amount_median,amount_mean
2014,31,0.12903225806451613,0.1,50000.0,188143.6248387097
2015,17,0.058823529411764705,0.058823529411764705,37300.0,67352.63772999999
2016,54,0.18518518518518517,0.18518518518518517,78056.5,279162.2674074074
2017,151,0.25165562913907286,0.23129251700680273,80000.0,369304.2658940397
2018,280,0.3142857142857143,0.29927007299270075,100000.0,704266.3437142858
2019,638,0.45141065830721006,0.44089456869009586,74500.0,435387.27549372055
2020,866,0.36605080831408776,0.35939323220536756,118038.86499999999,590994.7415127021
2021,1026,0.4064327485380117,0.3994082840236686,106250.0,445576.72228557506
2022,789,0.4790874524714829,0.47509578544061304,100000.0,464733.3128172589
2023,634,0.471608832807571,0.46485623003194887,100000.0,386833.62152996846
2024,684,0.52046783625731,0.511177347242921,90000.0,433249.95032258064
