model,variable,coef,std_err,p_value,stars,nobs,rsquared,dep_mean
m01_policy_baseline,2021后,0.08378437116327822,0.038912038191948044,0.031305042087991924,**,5166,0.09991523111430423,0.4248935346496322
m01_policy_baseline,主金额对数,-0.008354468927234848,0.007697302407750258,0.27775506389990434,,5166,0.09991523111430423,0.4248935346496322
m01_policy_baseline,LLM金额与正则冲突,-0.1063769323613411,0.03916955384186752,0.00661145296385593,***,5166,0.09991523111430423,0.4248935346496322
m02_add_transaction,2021后,0.08010073829993977,0.030118121829331605,0.007824444125140403,***,5166,0.1666964254569081,0.4248935346496322
m02_add_transaction,主金额对数,-0.006587670121432521,0.005659333885899206,0.24440929815370205,,5166,0.1666964254569081,0.4248935346496322
m02_add_transaction,LLM金额与正则冲突,-0.07657300764758528,0.034029075136417446,0.024434792776953356,**,5166,0.1666964254569081,0.4248935346496322
m03_add_region,2021后,0.08070834417151387,0.02962129058604342,0.0064365111211770595,***,5166,0.169266663498165,0.4248935346496322
m03_add_region,主金额对数,-0.006617298791782711,0.006071033261587088,0.2757223926449872,,5166,0.169266663498165,0.4248935346496322
m03_add_region,LLM金额与正则冲突,-0.06982978204457194,0.03486566991517831,0.045196239636523305,**,5166,0.169266663498165,0.4248935346496322
m04_linear_time_trend,2021后,-0.0053709431434885635,0.033473234849967136,0.8725227789444943,,5166,0.17310679356776848,0.4248935346496322
m04_linear_time_trend,线性时间趋势,0.02626769472811141,0.006994250234043938,0.00017291795354925686,***,5166,0.17310679356776848,0.4248935346496322
m04_linear_time_trend,主金额对数,-0.00730218628284286,0.006122307394755608,0.23297983040635373,,5166,0.17310679356776848,0.4248935346496322
m04_linear_time_trend,LLM金额与正则冲突,-0.07101346943866062,0.03429801348062768,0.038407093862296925,**,5166,0.17310679356776848,0.4248935346496322
m05_post2017,2017后,0.20271656416887726,0.06300631936259167,0.001293578815093072,***,5166,0.16638609947928085,0.4248935346496322
m05_post2017,主金额对数,-0.007579075385202698,0.0056102393468816115,0.1767158731041557,,5166,0.16638609947928085,0.4248935346496322
m05_post2017,LLM金额与正则冲突,-0.07202590988873496,0.03346011466705033,0.03135091124786937,**,5166,0.16638609947928085,0.4248935346496322
m06_policy_by_transaction,2021后,0.06602846369905889,0.031088494017400343,0.033679552255572974,**,5166,0.17731553057242044,0.4248935346496322
m06_policy_by_transaction,主金额对数,-0.006836727437410067,0.0057889948577380035,0.23760790364972906,,5166,0.17731553057242044,0.4248935346496322
m06_policy_by_transaction,LLM金额与正则冲突,-0.06004094947118788,0.034947544011647826,0.08579103677897892,*,5166,0.17731553057242044,0.4248935346496322
m07_policy_by_amount_q4,2021后,0.07203946446396814,0.03275000974671723,0.02782977363659888,**,5166,0.16993670076988365,0.4248935346496322
m07_policy_by_amount_q4,主金额对数,-0.003692037170784385,0.007865707851249877,0.6387952049557745,,5166,0.16993670076988365,0.4248935346496322
m07_policy_by_amount_q4,金额最高四分位,-0.06916464859201817,0.0484579359726336,0.1534896557271576,,5166,0.16993670076988365,0.4248935346496322
m07_policy_by_amount_q4,2021后 x 金额最高四分位,0.0720140026651405,0.05648297862711542,0.20232049104943306,,5166,0.16993670076988365,0.4248935346496322
m07_policy_by_amount_q4,LLM金额与正则冲突,-0.06972686324739925,0.034839999105110604,0.04535520721508291,**,5166,0.16993670076988365,0.4248935346496322
m08_policy_by_big4,2021后,0.0610826301130915,0.03524074279968007,0.08304311380881055,*,5166,0.17465148984991774,0.4248935346496322
m08_policy_by_big4,主金额对数,-0.005076296962158058,0.005225365125878274,0.33131318949061583,,5166,0.17465148984991774,0.4248935346496322
m08_policy_by_big4,北上广浙,-0.1315955704256865,0.04600121266260873,0.004227096969609837,***,5166,0.17465148984991774,0.4248935346496322
m08_policy_by_big4,2021后 x 北上广浙,0.06176722188205703,0.04701561159305108,0.1889270397500753,,5166,0.17465148984991774,0.4248935346496322
m08_policy_by_big4,LLM金额与正则冲突,-0.0642290846140395,0.034399044992251375,0.0618769596712213,*,5166,0.17465148984991774,0.4248935346496322
m09_strict_dv,2021后,0.08571977945511298,0.029227459624016024,0.003358652112033602,***,5095,0.17234942384227359,0.4168792934249264
m09_strict_dv,主金额对数,-0.005783657121485037,0.006190058520903542,0.3501253845658674,,5095,0.17234942384227359,0.4168792934249264
m09_strict_dv,LLM金额与正则冲突,-0.07793834408187261,0.03435659053143359,0.023298007494922543,**,5095,0.17234942384227359,0.4168792934249264
m10_llm_amount,2021后,0.07846149426035931,0.029201655180187826,0.007212174202255595,***,5058,0.16999505467067988,0.4211150652431791
m10_llm_amount,LLM金额对数,-0.005327235411354646,0.00596360631600824,0.3717013957559604,,5058,0.16999505467067988,0.4211150652431791
m10_llm_amount,LLM金额与正则冲突,-0.06715247441073155,0.03636290396683773,0.06478624651811818,*,5058,0.16999505467067988,0.4211150652431791
m11_regex_amount,2021后,0.08061660236626268,0.029261854143888003,0.005869094496722527,***,5166,0.17123049700461945,0.4248935346496322
m11_regex_amount,正则金额对数,-0.011929928824125293,0.004792415111600593,0.012798214766091089,**,5166,0.17123049700461945,0.4248935346496322
m11_regex_amount,LLM金额与正则冲突,-0.07002229099714183,0.03417661056968993,0.040478094405066466,**,5166,0.17123049700461945,0.4248935346496322
m12_winsor_amount,2021后,0.080693294224529,0.029562909785396812,0.006342178197295947,***,5166,0.16940477353481453,0.4248935346496322
m12_winsor_amount,缩尾金额对数,-0.007844225717252112,0.0064333499952721656,0.22272786766359431,,5166,0.16940477353481453,0.4248935346496322
m12_winsor_amount,LLM金额与正则冲突,-0.0692080662609259,0.03476527270757208,0.046511227559567055,**,5166,0.16940477353481453,0.4248935346496322
m13_exclude_top1_amount,2021后,0.08033544068668916,0.030291365584139033,0.00799951146185471,***,5114,0.16834815714100215,0.42588971450919044
