model,2021后,2017后,线性时间趋势,主金额对数,LLM金额对数,正则金额对数,缩尾金额对数,金额最高四分位,2021后 x 金额最高四分位,北上广浙,2021后 x 北上广浙,LLM金额与正则冲突,N,R2,Y均值
m01_policy_baseline,0.0838** (0.0389),,,-0.0084 (0.0077),,,,,,,,-0.1064*** (0.0392),5166,0.0999,0.4249
m02_add_transaction,0.0801*** (0.0301),,,-0.0066 (0.0057),,,,,,,,-0.0766** (0.0340),5166,0.1667,0.4249
m03_add_region,0.0807*** (0.0296),,,-0.0066 (0.0061),,,,,,,,-0.0698** (0.0349),5166,0.1693,0.4249
m04_linear_time_trend,-0.0054 (0.0335),,0.0263*** (0.0070),-0.0073 (0.0061),,,,,,,,-0.0710** (0.0343),5166,0.1731,0.4249
m05_post2017,,0.2027*** (0.0630),,-0.0076 (0.0056),,,,,,,,-0.0720** (0.0335),5166,0.1664,0.4249
m06_policy_by_transaction,0.0660** (0.0311),,,-0.0068 (0.0058),,,,,,,,-0.0600* (0.0349),5166,0.1773,0.4249
m07_policy_by_amount_q4,0.0720** (0.0328),,,-0.0037 (0.0079),,,,-0.0692 (0.0485),0.0720 (0.0565),,,-0.0697** (0.0348),5166,0.1699,0.4249
m08_policy_by_big4,0.0611* (0.0352),,,-0.0051 (0.0052),,,,,,-0.1316*** (0.0460),0.0618 (0.0470),-0.0642* (0.0344),5166,0.1747,0.4249
m09_strict_dv,0.0857*** (0.0292),,,-0.0058 (0.0062),,,,,,,,-0.0779** (0.0344),5095,0.1723,0.4169
m10_llm_amount,0.0785*** (0.0292),,,,-0.0053 (0.0060),,,,,,,-0.0672* (0.0364),5058,0.1700,0.4211
m11_regex_amount,0.0806*** (0.0293),,,,,-0.0119** (0.0048),,,,,,-0.0700** (0.0342),5166,0.1712,0.4249
m12_winsor_amount,0.0807*** (0.0296),,,,,,-0.0078 (0.0064),,,,,-0.0692** (0.0348),5166,0.1694,0.4249
m13_exclude_top1_amount,0.0803*** (0.0303),,,-0.0060 (0.0063),,,,,,,,-0.0726** (0.0357),5114,0.1683,0.4259
