model,term,coef,std_err,p_value,ci_low,ci_high,nobs,rsquared,dep_mean,note,excluded_province,excluded_n
loo_广东,post2021,0.06939602546814111,0.030533181896110064,0.023037821081628596,0.009552088618354986,0.12923996231792723,4435,0.17373553420301613,0.43449830890642616,剔除省份：广东,广东,731
loo_山东,post2021,0.10968015460608735,0.01979055052611544,2.989565996504249e-08,0.07089138834068087,0.14846892087149383,4698,0.1603213583562485,0.40655598126862497,剔除省份：山东,山东,468
loo_浙江,post2021,0.06915785433966687,0.029822174212788533,0.020394613897165372,0.010707466941922206,0.12760824173741153,4793,0.17039711670644186,0.4293761735864803,剔除省份：浙江,浙江,373
loo_北京,post2021,0.08131141003324979,0.03151011110798943,0.009866127084629694,0.019552727112735015,0.14307009295376458,4826,0.16899077914603244,0.43742229589722337,剔除省份：北京,北京,340
loo_江苏,post2021,0.07665770980738079,0.03133249686373397,0.014421560013435256,0.015247144408748019,0.13806827520601356,4878,0.17176605944609635,0.4227142271422714,剔除省份：江苏,江苏,288
loo_福建,post2021,0.07476875295471624,0.030124091288155987,0.013063804537192768,0.015726618962933703,0.13381088694649879,4891,0.16247201805029932,0.4277243917399305,剔除省份：福建,福建,275
loo_四川,post2021,0.07604942999942148,0.03056163125674097,0.012832089138626351,0.01614973342741558,0.13594912657142738,4897,0.17214793212325952,0.4227077802736369,剔除省份：四川,四川,269
loo_湖南,post2021,0.08480077526652176,0.029962018914156435,0.004650790264547804,0.026076297290667245,0.14352525324237628,4922,0.167940292080359,0.41995123933360423,剔除省份：湖南,湖南,244
loo_河南,post2021,0.0853528417904472,0.030013366677598238,0.004457515350715182,0.026527724047560083,0.14417795953333434,4926,0.17137010035290456,0.42082825822168085,剔除省份：河南,河南,240
loo_上海,post2021,0.08519937646829685,0.029928697264064146,0.004416869387338973,0.026540207726528674,0.14385854521006503,4945,0.1726241553742014,0.4268958543983822,剔除省份：上海,上海,221
loo_湖北,post2021,0.08305196735189654,0.030186053038509502,0.005935277303700494,0.023888390561002053,0.14221554414279103,4975,0.17120160687369723,0.421105527638191,剔除省份：湖北,湖北,191
loo_辽宁,post2021,0.07723584431482952,0.029868413065628388,0.009713345403258763,0.018694830430832296,0.13577685819882673,4989,0.16966155382889736,0.4275405892964522,剔除省份：辽宁,辽宁,177
loo_云南,post2021,0.08265486476671487,0.03045002863580791,0.006638733900459738,0.02297390531231805,0.14233582422111168,4991,0.16963641670117247,0.42917251051893407,剔除省份：云南,云南,175
loo_陕西,post2021,0.07985593107436237,0.030058924341524053,0.00789221910189952,0.020941521950960863,0.13877034019776388,5012,0.16858999676443864,0.4221867517956903,剔除省份：陕西,陕西,156
loo_安徽,post2021,0.0761978047510626,0.030141537990814652,0.011471438763160587,0.017121475850420093,0.1352741336517051,5025,0.17349296088509136,0.4256716417910448,剔除省份：安徽,安徽,141
