variable,count,mean,std,min,1%,10%,25%,50%,75%,90%,99%,max
contract_invalid,5170.0,0.42475822050290135,0.4943540680794908,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
contract_invalid_strict,5099.0,0.41674838203569325,0.49306880597467795,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
post2021,5170.0,0.6059961315280464,0.4886829358450673,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
post2017,5170.0,0.9802707930367505,0.1390816554590467,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
amount_master_cny,5166.0,470045.57112193375,2398503.089781822,0.0,613.6999999999998,12000.0,35000.0,100000.0,299250.0,885230.0,5802139.700000017,98000000.0
llm_top_case_amount_cny,5058.0,447164.79366269475,2270707.371296609,0.0,957.0,12882.000000000004,35692.41,100000.0,291180.75,850000.0,5407231.533600004,98000000.0
regex_text_amount_max_cny,5166.0,79095052.37391609,2416123953.603977,10.0,1500.0,21625.0,61951.25,200000.0,731500.0,3097500.0,200896210.00000092,132000000000.0
amount_log,5166.0,11.482808650806266,1.7779371695983976,0.0,6.418138449061178,9.392745258631441,10.463131911491967,11.51293546492023,12.60902851142022,13.693600619045949,15.573729868939326,18.400478046838927
amount_llm_regex_conflict_flag,5170.0,0.03539651837524178,0.18479775517763813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
region_big4,5170.0,0.32205029013539654,0.4673073291290454,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
q4_amount,5170.0,0.1058027079303675,0.30761469077511744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
