field,group,kind,tp,fp,fn,gold_positive,pred_positive,precision,recall,f1,documents,exact_documents,exact_match_rate
case_amount,primary,scalar,7,2,3,10,9,0.7777777777777778,0.7,0.7368421052631577,10,7,0.7
judicial_analysis.contract_validity,primary,scalar,7,3,3,10,10,0.7,0.7,0.7,10,7,0.7
virtual_currency_info.activity_types,primary,list,10,1,4,14,11,0.9090909090909091,0.7142857142857143,0.8,10,6,0.6
case_amount_type,secondary,scalar,8,1,2,10,9,0.8888888888888888,0.8,0.8421052631578948,10,8,0.8
metadata.court_level,secondary,scalar,10,0,0,10,10,1.0,1.0,1.0,10,10,1.0
metadata.judgment_date,secondary,scalar,10,0,0,10,10,1.0,1.0,1.0,10,10,1.0
metadata.region,secondary,scalar,10,0,0,10,10,1.0,1.0,1.0,10,10,1.0
case_profile.case_type_primary,secondary,scalar,10,0,0,10,10,1.0,1.0,1.0,10,10,1.0
case_profile.case_type_secondary,secondary,scalar,9,1,1,10,10,0.9,0.9,0.9,10,9,0.9
case_profile.procedure_stage,secondary,scalar,10,0,0,10,10,1.0,1.0,1.0,10,10,1.0
case_profile.is_appeal,secondary,scalar,10,0,0,10,10,1.0,1.0,1.0,10,10,1.0
virtual_currency_info.currency_types,secondary,list,11,1,3,14,12,0.9166666666666666,0.7857142857142857,0.8461538461538461,10,7,0.7
judicial_analysis.legal_characterization,secondary,scalar,9,0,0,9,9,1.0,1.0,1.0,10,10,1.0
judicial_analysis.virtual_currency_property_status,secondary,scalar,10,0,0,10,10,1.0,1.0,1.0,10,10,1.0
judicial_analysis.transaction_legality_assessment,secondary,scalar,4,6,6,10,10,0.4,0.4,0.4000000000000001,10,4,0.4
judicial_analysis.reasons_for_invalidity_or_no_protection,secondary,list,2,1,12,14,3,0.6666666666666666,0.14285714285714285,0.23529411764705882,10,3,0.3
judicial_analysis.cited_policies,secondary,list,1,0,0,1,1,1.0,1.0,1.0,10,10,1.0
judicial_analysis.policy_labels,secondary,list,1,0,0,1,1,1.0,1.0,1.0,10,10,1.0
judicial_analysis.judicial_framing,secondary,list,9,2,12,21,11,0.8181818181818182,0.42857142857142855,0.5625,10,2,0.2
