field,group,kind,tp,fp,fn,gold_positive,pred_positive,precision,recall,f1,documents,exact_documents,exact_match_rate
case_amount,primary,scalar,13,4,5,18,17,0.7647058823529411,0.7222222222222222,0.7428571428571428,18,13,0.7222222222222222
judicial_analysis.contract_validity,primary,scalar,17,1,1,18,18,0.9444444444444444,0.9444444444444444,0.9444444444444444,18,17,0.9444444444444444
virtual_currency_info.activity_types,primary,list,30,2,14,44,32,0.9375,0.6818181818181818,0.7894736842105263,18,6,0.3333333333333333
case_amount_type,secondary,scalar,14,3,4,18,17,0.8235294117647058,0.7777777777777778,0.7999999999999999,18,14,0.7777777777777778
metadata.court_level,secondary,scalar,18,0,0,18,18,1.0,1.0,1.0,18,18,1.0
metadata.judgment_date,secondary,scalar,18,0,0,18,18,1.0,1.0,1.0,18,18,1.0
metadata.region,secondary,scalar,18,0,0,18,18,1.0,1.0,1.0,18,18,1.0
case_profile.case_type_primary,secondary,scalar,18,0,0,18,18,1.0,1.0,1.0,18,18,1.0
case_profile.case_type_secondary,secondary,scalar,17,1,1,18,18,0.9444444444444444,0.9444444444444444,0.9444444444444444,18,17,0.9444444444444444
case_profile.procedure_stage,secondary,scalar,18,0,0,18,18,1.0,1.0,1.0,18,18,1.0
case_profile.is_appeal,secondary,scalar,18,0,0,18,18,1.0,1.0,1.0,18,18,1.0
virtual_currency_info.currency_types,secondary,list,27,1,19,46,28,0.9642857142857143,0.5869565217391305,0.7297297297297297,18,8,0.4444444444444444
judicial_analysis.legal_characterization,secondary,scalar,15,3,3,18,18,0.8333333333333334,0.8333333333333334,0.8333333333333334,18,15,0.8333333333333334
judicial_analysis.virtual_currency_property_status,secondary,scalar,17,1,1,18,18,0.9444444444444444,0.9444444444444444,0.9444444444444444,18,17,0.9444444444444444
judicial_analysis.transaction_legality_assessment,secondary,scalar,15,3,3,18,18,0.8333333333333334,0.8333333333333334,0.8333333333333334,18,15,0.8333333333333334
judicial_analysis.reasons_for_invalidity_or_no_protection,secondary,list,5,1,7,12,6,0.8333333333333334,0.4166666666666667,0.5555555555555556,18,13,0.7222222222222222
judicial_analysis.cited_policies,secondary,list,3,0,1,4,3,1.0,0.75,0.8571428571428571,18,17,0.9444444444444444
judicial_analysis.policy_labels,secondary,list,3,0,1,4,3,1.0,0.75,0.8571428571428571,18,17,0.9444444444444444
judicial_analysis.judicial_framing,secondary,list,19,3,6,25,22,0.8636363636363636,0.76,0.8085106382978724,18,12,0.6666666666666666
