field,group,kind,tp,fp,fn,gold_positive,pred_positive,precision,recall,f1,documents,exact_documents,exact_match_rate
case_amount,primary,scalar,9,3,9,18,12,0.75,0.5,0.6,20,11,0.55
judicial_analysis.contract_validity,primary,scalar,19,0,1,20,19,1.0,0.95,0.9743589743589743,20,19,0.95
virtual_currency_info.activity_types,primary,list,21,1,8,29,22,0.9545454545454546,0.7241379310344828,0.823529411764706,20,12,0.6
case_amount_type,secondary,scalar,8,4,10,18,12,0.6666666666666666,0.4444444444444444,0.5333333333333333,20,10,0.5
metadata.court_level,secondary,scalar,20,0,0,20,20,1.0,1.0,1.0,20,20,1.0
metadata.judgment_date,secondary,scalar,20,0,0,20,20,1.0,1.0,1.0,20,20,1.0
metadata.region,secondary,scalar,20,0,0,20,20,1.0,1.0,1.0,20,20,1.0
case_profile.case_type_primary,secondary,scalar,20,0,0,20,20,1.0,1.0,1.0,20,20,1.0
case_profile.case_type_secondary,secondary,scalar,19,1,1,20,20,0.95,0.95,0.9500000000000001,20,19,0.95
case_profile.procedure_stage,secondary,scalar,20,0,0,20,20,1.0,1.0,1.0,20,20,1.0
case_profile.is_appeal,secondary,scalar,20,0,0,20,20,1.0,1.0,1.0,20,20,1.0
virtual_currency_info.currency_types,secondary,list,16,1,6,22,17,0.9411764705882353,0.7272727272727273,0.8205128205128205,20,16,0.8
judicial_analysis.legal_characterization,secondary,scalar,19,0,0,19,19,1.0,1.0,1.0,20,20,1.0
judicial_analysis.virtual_currency_property_status,secondary,scalar,19,1,1,20,20,0.95,0.95,0.9500000000000001,20,19,0.95
judicial_analysis.transaction_legality_assessment,secondary,scalar,20,0,0,20,20,1.0,1.0,1.0,20,20,1.0
judicial_analysis.reasons_for_invalidity_or_no_protection,secondary,list,3,1,1,4,4,0.75,0.75,0.75,20,18,0.9
judicial_analysis.cited_policies,secondary,list,1,0,0,1,1,1.0,1.0,1.0,20,20,1.0
judicial_analysis.policy_labels,secondary,list,1,0,0,1,1,1.0,1.0,1.0,20,20,1.0
judicial_analysis.judicial_framing,secondary,list,22,1,2,24,23,0.9565217391304348,0.9166666666666666,0.9361702127659574,20,17,0.85
