doc_id,case_number,court_name,court_level,judgment_date,first_instance_case_number,region,doc_type,case_type_primary,case_type_secondary,procedure_stage,is_appeal,plaintiff_types,defendant_types,vc_involved,currency_types,activity_type,total_amount_cny,legal_characterization,vc_property_legality,contract_validity,reason_for_invalidity,cited_laws,cited_policies,judicial_framing,outcome_summary,reasoning_summary,agreement_rate,final_label_source,models_used,amount_mean_regex,amount_max_regex,amount_median_regex,amount_count_regex,contract_validity_regex,case_amount
0004eca6-287f-431c-968c-ac5c00be4303,（2020）浙0203刑初680号,宁波市海曙区人民法院,基层法院,2020-09-08,,,,,,一审,0,,,,,,2100,贩卖、运输毒品罪,,,,,,,,,1.0,majority_vote,QWEN3_32B,2100,2100,2100,1,1,2100
00088cd3-9fe7-49a2-ba74-b23000314424,（2023）湘0602刑初166号,湖南省岳阳市岳阳楼区人民法院,基层法院,2023-06-26,,,,,,一审,0,,,,,场外交易(OTC),900000,帮助信息网络犯罪活动罪,,,,,,,,,1.0,majority_vote,QWEN3_32B,900000,900000,900000,1,1,900000
0014061e-e139-439b-b45a-a9c200d071bd,(2018)苏0106刑初401号,南京市鼓楼区人民法院,基层法院,2018-10-22,,,,,,一审,0,,,,,技术服务,1041848,非法获取计算机信息系统数据罪,,,,,,,,,1.0,majority_vote,QWEN3_32B,1041848,1041848,1041848,1,1,1041848
0019e48c-7aae-4794-a924-aaee008db447,(2019)湘1321刑初62号,双峰县人民法院,基层法院,2019-04-17,,,,,,一审,0,,,,,,2086008.73,诈骗罪,,,,,,,,,1.0,majority_vote,QWEN3_32B,2086008.73,2086008.73,2086008.73,1,1,2086008.73
001deda5-d5be-4464-8fc7-b126015526e1,（2023）豫0721民初1998号,新乡县人民法院,基层法院,2023-11-14,,,,,,一审,0,,,,,委托理财/代投,50000,买卖合同,,部分无效,,,,,,,1.0,majority_vote,QWEN3_32B,50000,50000,50000,1,1,50000
00284eb4-ed66-468e-89f4-ac6a0019ef30,(2020)川11民终1067号,四川省乐山市中级人民法院,中院,2020-11-02,,,,,,二审,1,,,,,挖矿,117530,合同纠纷,,有效,,,,,,,1.0,majority_vote,QWEN3_32B,117530,117530,117530,1,1,117530
003459f4-1751-46cc-9d9c-ae82008cf150,(2021)鄂0105民初11121号,武汉市汉阳区人民法院,基层法院,2022-01-26,,,,,,一审,0,,,,,,20000,合同纠纷,,有效,,,,,,,1.0,majority_vote,QWEN3_32B,20000,20000,20000,1,1,20000
00354bf2-f53b-476f-b505-ab35011ef218,(2019)新7101民初749号,乌鲁木齐铁路运输法院,基层法院,2019-11-18,,,,,,一审,0,,,,,委托理财/代投,1500,委托合同,,有效,,,,,,,1.0,majority_vote,QWEN3_32B,1500,1500,1500,1,1,1500
003560b3-b4f4-4793-8a27-ae040104843e,(2021)粤0303民初21484号,深圳市罗湖区人民法院,基层法院,2021-08-18,,,,,,一审,0,,,,,买卖合同,54613,买卖合同关系,,无效,,,,,,,1.0,majority_vote,QWEN3_32B,54613,54613,54613,1,1,54613
003b58f2-39b6-435e-9492-a85100b0af2d,(2017)浙0902刑初316号,舟山市定海区人民法院,基层法院,2017-09-19,,,,,,一审,0,,,,,虚拟货币与法定货币兑换,230000,赌博罪,,,,,,,,,1.0,majority_vote,QWEN3_32B,230000,230000,230000,1,1,230000
00480131-7b71-495c-b33f-b20d01432e9d,(2023)川1124民初1593号,井研县人民法院,基层法院,2023-11-22,,,,,,一审,0,,,,,场外交易(OTC),29330.16,买卖合同无效,,无效,,,,,,,1.0,majority_vote,QWEN3_32B,29330.16,29330.16,29330.16,1,1,29330.16
0051f4d9-e45b-4084-be3e-ac5b00a74f9b,(2020)鲁04民终2928号,山东省枣庄市中级人民法院,中院,2020-10-15,,,,,,二审,1,,,,,委托理财/代投,50000,民间借贷,,未成立,,,,,,,1.0,majority_vote,QWEN3_32B,50000,50000,50000,1,1,50000
