term,b,se,z,p
0b.activity_type_id,0,0,,
1o.activity_type_id,0,0,,
2.activity_type_id,-.5305126921187282,.7398265,-.7170772,.47332647
4o.activity_type_id,0,0,,
5.activity_type_id,1.492319228879476,.24561477,6.0758529,1.2333032e-09
7o.activity_type_id,0,0,,
8.activity_type_id,2.007975352448745,.27349031,7.3420348,2.1037091e-13
9o.activity_type_id,0,0,,
10o.activity_type_id,0,0,,
11.activity_type_id,.5530917531474846,.30627686,1.8058555,.070940919
12.activity_type_id,3.624616001804453,.24270129,14.934474,0
13.activity_type_id,2.819427956181634,1.036184,2.7209725,.0065090186
14.activity_type_id,2.454999594620396,.20495628,11.978162,4.6246196e-33
15.activity_type_id,1.623297268267954,.12396874,13.094409,0
18o.activity_type_id,0,0,,
19o.activity_type_id,0,0,,
20.activity_type_id,1.135672912988099,.25525361,4.4491944,8.6192922e-06
21.activity_type_id,2.011460350783313,1.3161058,1.5283425,.12642753
22o.activity_type_id,0,0,,
24o.activity_type_id,0,0,,
26.activity_type_id,1.814702763611759,.77663934,2.3366094,.019459505
27.activity_type_id,1.221329626129277,.15116413,8.0794935,6.5036328e-16
30o.activity_type_id,0,0,,
31.activity_type_id,.3412342589108803,.49502605,.68932587,.49061823
33.activity_type_id,.6126679432382309,.61969852,.98865479,.32283208
36o.activity_type_id,0,0,,
43o.activity_type_id,0,0,,
44o.activity_type_id,0,0,,
45o.activity_type_id,0,0,,
46o.activity_type_id,0,0,,
47o.activity_type_id,0,0,,
48o.activity_type_id,0,0,,
49o.activity_type_id,0,0,,
51o.activity_type_id,0,0,,
52o.activity_type_id,0,0,,
53o.activity_type_id,0,0,,
54o.activity_type_id,0,0,,
55o.activity_type_id,0,0,,
59o.activity_type_id,0,0,,
60o.activity_type_id,0,0,,
61o.activity_type_id,0,0,,
62o.activity_type_id,0,0,,
63.activity_type_id,1.378222467600067,1.5941842,.86453152,.38729596
64o.activity_type_id,0,0,,
65o.activity_type_id,0,0,,
