activity_type_id,activity_type_label,N_cases,b,se,z,p,OR,sig,term
15,委托理财/代投,1680,1.623297268267954,.12396874,13.094409,0,5.06977920967852,***,15.activity_type_id
155,虚拟货币结算,4,1.866068469199315,.12651342,14.749964,0,6.462837541084508,***,155.activity_type_id
12,发币/ICO,1034,3.624616001804453,.24270129,14.934474,0,37.510316499862,***,12.activity_type_id
14,场外交易(OTC),989,2.454999594620396,.20495628,11.978162,4.6246196e-33,11.6464288276538,***,14.activity_type_id
75,虚拟货币交易,381,2.297043009595686,.27255443,8.4278316,3.5212774e-17,9.944732456145417,***,75.activity_type_id
27,挖矿,846,1.221329626129277,.15116413,8.0794935,6.5036328e-16,3.391694422378337,***,27.activity_type_id
108,虚拟货币投资,282,1.474307088876527,.18665877,7.8984075,2.8248902e-15,4.368008082702852,***,108.activity_type_id
70,虚拟货币买卖,85,2.389182130826374,.31878746,7.4945927,6.6504500e-14,10.90457178184705,***,70.activity_type_id
8,交易所炒币,204,2.007975352448745,.27349031,7.3420348,2.1037091e-13,7.448222046616058,***,8.activity_type_id
5,买卖合同,99,1.492319228879476,.24561477,6.0758529,1.2333032e-09,4.447398101477756,***,5.activity_type_id
86,虚拟货币借贷,731,.7336795371943552,.15351176,4.779305,1.7590235e-06,2.082730008448245,***,86.activity_type_id
20,技术服务,687,1.135672912988099,.25525361,4.4491944,8.6192922e-06,3.113267796536586,***,20.activity_type_id
200,非法金融活动,69,4.459344095272962,1.0334476,4.3150167,.000015959065,86.4308001301559,***,200.activity_type_id
13,场外OTC/私下转账,19,2.819427956181634,1.036184,2.7209725,.0065090186,16.76725632287695,***,13.activity_type_id
143,虚拟货币炒币,13,3.047664968015491,1.1341978,2.6870666,.0072082602,21.06609693755267,***,143.activity_type_id
114,虚拟货币投资/理财,6,2.379580472242182,.93903923,2.5340586,.011274989,10.80037085797694,**,114.activity_type_id
26,投资虚拟货币,9,1.814702763611759,.77663934,2.3366094,.019459505,6.139251097395579,**,26.activity_type_id
11,其他,168,.5530917531474846,.30627686,1.8058555,.070940919,1.738620100913424,*,11.activity_type_id
132,虚拟货币消费,12,1.698544630541194,1.004068,1.6916629,.090710275,5.465986570247547,*,132.activity_type_id
163,虚拟货币购买,26,1.419871362219987,.8568238,1.6571335,.097492501,4.136588284490712,*,163.activity_type_id
21,投资,3,2.011460350783313,1.3161058,1.5283425,.12642753,7.47422437075519,,21.activity_type_id
107,虚拟货币打赏,3,1.378689192768894,1.072523,1.2854636,.19863033,3.969694711075891,,107.activity_type_id
87,虚拟货币充值,2,1.592801499904123,1.4473578,1.1004891,.27111906,4.917506041757539,,87.activity_type_id
33,民间借贷,11,.6126679432382309,.61969852,.98865479,.32283208,1.845348121139126,,33.activity_type_id
63,虚拟财产,2,1.378222467600067,1.5941842,.86453152,.38729596,3.967842386938443,,63.activity_type_id
123,虚拟货币支付,12,.7192245530450377,.84486997,.85128433,.39461142,2.052840724190705,,123.activity_type_id
2,不适用,46,-.5305126921187282,.7398265,-.7170772,.47332647,.5883032738944907,,2.activity_type_id
31,未知,67,.3412342589108803,.49502605,.68932587,.49061823,1.40668273023209,,31.activity_type_id
144,虚拟货币理财,13,.3305484247405693,1.3670517,.24179657,.80893779,1.391731179017549,,144.activity_type_id
