doc_id,status,model,temperature,case_amount,case_amount_type,metadata__case_number,metadata__court_name,metadata__court_level,metadata__judgment_date,metadata__first_instance_case_number,metadata__region,metadata__doc_type,case_profile__case_type_primary,case_profile__case_type_secondary,case_profile__procedure_stage,case_profile__is_appeal,case_profile__litigant_profile__plaintiff_types,case_profile__litigant_profile__defendant_types,virtual_currency_info__involved,virtual_currency_info__currency_types,virtual_currency_info__activity_types,judicial_analysis__legal_characterization,judicial_analysis__virtual_currency_property_status,judicial_analysis__transaction_legality_assessment,judicial_analysis__direct_transaction_legality_assessment,judicial_analysis__indirect_transaction_legality_assessment,judicial_analysis__contract_validity,judicial_analysis__direct_related_contract_validity,judicial_analysis__indirect_related_contract_validity,judicial_analysis__reasons_for_invalidity_or_no_protection,judicial_analysis__cited_laws,judicial_analysis__cited_policies,judicial_analysis__policy_labels,judicial_analysis__judicial_framing,llm_summary__outcome_summary,llm_summary__reasoning_summary,low_confidence_fields
31f44eda-262f-4794-a573-adf6013367d1,ok,deepseek-v4-pro,0,7235,诈骗金额,（2021）苏0113刑初330号,南京市栖霞区人民法院,基层法院,2021-11-03,,江苏,判决书,刑事,诈骗罪,一审,0,"[""人民检察院""]","[""自然人""]",1,"[""比特币""]","[""诈骗""]",诈骗罪,未明确,不适用,不适用,不适用,不适用,不适用,不适用,[],"[""《中华人民共和国刑法》第二百六十六条"",""《中华人民共和国刑法》第六十七条第三款""]",[],[],"[""其他""]",定罪处罚,被告人万某某以非法占有为目的，诈骗他人财物，数额较大，构成诈骗罪。其有坦白、认罪认罚、积极退赔等从轻情节，但多次诈骗并导致被害人自杀，情节严重，不予缓刑。,[]
6b8b77fd-2d4f-4102-acbb-ad1a014b5f94,ok,deepseek-v4-pro,0,20000,购买价款,(2021)津03刑初4号,天津市第三中级人民法院,中级法院,2021-03-10,,天津,判决书,刑事,走私毒品罪,一审,0,"[""人民检察院""]","[""自然人""]",1,"[""USDT""]","[""买卖/兑换""]",走私毒品罪,未明确,不适用,不适用,不适用,不适用,不适用,不适用,[],"[""《中华人民共和国刑法》第三百四十七条第一款、第四款"",""《中华人民共和国刑法》第六十七条第三款"",""《中华人民共和国刑法》第七十二条第一款、第三款"",""《中华人民共和国刑法》第六十四条"",""《中华人民共和国刑事诉讼法》第十五条"",""《中华人民共和国刑事诉讼法》第二百零一条第一款""]",[],[],"[""其他""]",定罪处罚,"被告人聂某某违反国家毒品管理法规和海关法规,逃避海关监管,非法邮寄大麻叶入境,其行为已构成走私毒品罪。聂某某到案后如实供述自己罪行,系坦白,依法可从轻处罚;聂某某认罪、认罚,依法可从宽处罚。",[]
1d979d3d-6a3e-4ebd-b370-abd7005e4690,ok,deepseek-v4-pro,0,100000,投资款,(2020)浙0282民初476号,慈溪市人民法院,基层法院,2020-06-04,,浙江,判决书,民事,合同纠纷,一审,0,"[""自然人""]","[""自然人""]",1,"[""虚拟货币""]","[""委托理财/代投"",""交易所交易""]",委托合同,未明确,未明确,未明确,不适用,有效,有效,不适用,[],"[""《中华人民共和国合同法》第四十四条第一款"",""《中华人民共和国合同法》第六十条第一款"",""《中华人民共和国合同法》第一百零七条"",""《中华人民共和国民事诉讼法》第一百四十四条""]",[],[],"[""返还本金""]",支持返还投资款,法院认定原被告之间存在投资委托关系，被告未履行合同义务，判决返还投资款。,[]
25466e51-6283-4581-9776-aaa400b10bde,ok,deepseek-v4-pro,0,16500,购买价款,(2019)鲁0104民初1169号,济南市槐荫区人民法院,基层法院,2019-06-27,,山东,判决书,民事,合同纠纷,一审,0,"[""自然人""]","[""法人"",""自然人""]",1,"[""红币""]","[""买卖/兑换"",""发币/ICO""]",买卖合同,未明确,合同无效,合同无效,不适用,无效,无效,不适用,"[""违反法律强制性规定"",""证据不足""]","[""《中华人民共和国民事诉讼法》第六十四条"",""《中华人民共和国民事诉讼法》第一百四十四条""]","[""《关于防范比特币风险的通知》""]","[""2013五部委通知""]","[""合同无效"",""违反强制性规定"",""证据不足""]",驳回诉请,原告未能提供有效证据证明与被告存在合同关系及付款事实，且购买虚拟货币系违反法律法规的无效行为，故驳回诉请。,[]
95d75f9a-ae77-49f7-913d-b1a500c716ee,ok,deepseek-v4-pro,0,50000,借款本金,（2024）浙1023民初1409号,天台县人民法院,基层法院,2024-06-21,,浙江,判决书,民事,民间借贷纠纷,一审,0,"[""自然人""]","[""自然人""]",1,"[""虚拟币""]","[""委托理财/代投""]",民间借贷,未明确,未明确,未明确,不适用,有效,不适用,不适用,[],"[""《中华人民共和国民法典》第六百七十四条"",""《中华人民共和国民法典》第六百七十五条"",""《最高人民法院关于审理民间借贷适用法律若干问题的规定》第二十八条第一款""]",[],[],"[""返还本金""]",支持返还本金26000元及利息,法院认定双方存在民间借贷关系，有借条为证，被告辩称投资虚拟币但未提供证据，不予采信，故支持返还剩余本金及合法利息。,[]
b32a8873-265a-4694-b0dc-a92d00b67609,ok,deepseek-v4-pro,0,,,(2018)川0704刑初104号,绵阳市游仙区人民法院,基层法院,2018-07-06,,四川,判决书,刑事,组织、领导传销活动罪,一审,0,"[""人民检察院""]","[""自然人""]",1,"[""利物币""]","[""传销""]",组织、领导传销活动罪,未明确,不适用,不适用,不适用,不适用,不适用,不适用,[],"[""《中华人民共和国刑法》第二百二十四条之一"",""《中华人民共和国刑法》第二十五条"",""《中华人民共和国刑法》第六十七条第一款"",""《中华人民共和国刑法》第六十七条第三款"",""《中华人民共和国刑法》第六十八条"",""《中华人民共和国刑法》第七十二条"",""《中华人民共和国刑法》第七十三条"",""《中华人民共和国刑法》第五十二条"",""《中华人民共和国刑法》第五十三条"",""《中华人民共和国刑法》第六十四条""]",[],[],"[""其他""]",定罪处罚,被告人以推销虚拟货币利物币为名，以发展人员数量作为返利依据，引诱参加者继续发展他人，骗取财物，构成组织、领导传销活动罪。,[]
77870fcd-33f8-4f96-9c1c-b10700182593,ok,deepseek-v4-pro,0,210000,投资款,（2023）鄂1022民初928号,公安县人民法院,基层法院,2023-05-23,,湖北,判决书,民事,保证合同纠纷,一审,0,"[""自然人""]","[""自然人""]",1,"[""虚拟币""]","[""委托理财/代投"",""传销""]",保证合同,未明确,未明确,未明确,不适用,未明确,未明确,不适用,"[""证据不足""]","[""《最高人民法院关于适用〈中华人民共和国民法典〉时间效力的若干规定》第一条第二款"",""《中华人民共和国担保法》第十八条"",""《中华人民共和国担保法》第二十六条"",""《中华人民共和国民事诉讼法》第六十七条""]",[],[],"[""证据不足""]",驳回诉请,法院认为，被告出具的担保条约定保证期间为1年2个月，原告未提供证据证明在保证期间内要求被告承担保证责任，故被告免除保证责任。,[]
485fa97d-fd5a-4299-9b95-ae1601632554,ok,deepseek-v4-pro,0,17847416.62,支付结算金额,(2021)豫0506刑初161号,安阳市龙安区人民法院,基层法院,2021-06-24,,河南,判决书,刑事,帮助信息网络犯罪活动罪,一审,0,"[""人民检察院""]","[""自然人""]",1,"[""比特币""]","[""帮助信息网络犯罪活动"",""支付结算""]",帮助信息网络犯罪活动罪,未明确,不适用,不适用,不适用,不适用,不适用,不适用,[],"[""《中华人民共和国刑法》第二百八十七条之二第一款"",""《中华人民共和国刑法》第六十七条第三款"",""《中华人民共和国刑法》第六十一条"",""《中华人民共和国刑法》第五十二条"",""《中华人民共和国刑法》第五十三条第一款"",""《中华人民共和国刑事诉讼法》第十五条"",""《中华人民共和国刑事诉讼法》第二百零一条""]",[],[],"[""其他""]",定罪处罚,被告人王某某明知他人利用信息网络实施犯罪，仍为他人提供支付结算帮助，情节严重，构成帮助信息网络犯罪活动罪。,[]
14b1d1d7-559a-432b-985b-ad3c00868694,ok,deepseek-v4-pro,0,8068693,支付结算金额,(2021)湘1022刑初102号,宜章县人民法院,基层法院,2021-05-07,,湖南,判决书,刑事,帮助信息网络犯罪活动罪,一审,0,"[""人民检察院""]","[""自然人""]",1,"[""虚拟币""]","[""帮助信息网络犯罪活动"",""支付结算""]",帮助信息网络犯罪活动罪,未明确,不适用,不适用,不适用,不适用,不适用,不适用,[],"[""《中华人民共和国刑法》第二百八十七条之二第一款"",""《中华人民共和国刑法》第二十五条第一款"",""《中华人民共和国刑法》第二十六条第一款、第四款"",""《中华人民共和国刑法》第五十二条"",""《中华人民共和国刑法》第六十四条"",""《中华人民共和国刑法》第六十七条第三款"",""《中华人民共和国刑事诉讼法》第十五条"",""《中华人民共和国刑事诉讼法》第二百条第(一)项""]",[],[],"[""其他""]",定罪处罚,被告人欧某1明知他人利用信息网络实施犯罪，仍然提供支付结算帮助，情节严重，构成帮助信息网络犯罪活动罪。,[]
b3306f18-cda9-445a-8f23-af820098f8f9,ok,deepseek-v4-pro,0,335500,原告诉请本金,（2022）闽09民终1812号,福建省宁德市中级人民法院,中级法院,2022-11-03,,福建,判决书,民事,合同纠纷,二审,1,"[""自然人""]","[""自然人""]",1,"[""USDT"",""HEGE""]","[""买卖/兑换"",""委托理财/代投""]",委托合同,未明确,合同无效,合同无效,不适用,无效,无效,不适用,"[""违反金融监管政策"",""违背公序良俗"",""非法金融活动""]","[""《中华人民共和国民法典》第一百五十三条"",""《中华人民共和国民法典》第一百五十七条"",""《中华人民共和国民法典》第九百一十九条"",""《最高人民法院关于适用<中华人民共和国民事诉讼法>的解释》第九十条"",""《中华人民共和国民事诉讼法》第一百七十七条第一款第一项""]","[""《关于防范比特币风险的通知》"",""《关于防范代币发行融资风险的公告》"",""《关于防范以“虚拟货币”“区块链”名义进行非法集资的风险提示》"",""《关于进一步防范和处置虚拟货币交易炒作风险的通知》""]","[""2013五部委通知"",""2017九四公告"",""2021九二四通知"",""其他""]","[""合同无效"",""违背公序良俗"",""违反强制性规定"",""监管政策影响私法效力"",""风险自担""]",驳回上诉，维持原判,法院认为，陈某3用USDT委托汤某某兑换HEGE的行为属于非法金融行为，相关民事行为无效，不受法律保护，由此引发的损失应由其自行承担。,[]
