doc_id,status,model,temperature,case_amount,case_amount_type,metadata__case_number,metadata__court_name,metadata__court_level,metadata__judgment_date,metadata__first_instance_case_number,metadata__region,metadata__doc_type,case_profile__case_type_primary,case_profile__case_type_secondary,case_profile__procedure_stage,case_profile__is_appeal,case_profile__litigant_profile__plaintiff_types,case_profile__litigant_profile__defendant_types,virtual_currency_info__involved,virtual_currency_info__currency_types,virtual_currency_info__activity_types,judicial_analysis__legal_characterization,judicial_analysis__virtual_currency_property_status,judicial_analysis__direct_transaction_legality_assessment,judicial_analysis__indirect_transaction_legality_assessment,judicial_analysis__direct_related_contract_validity,judicial_analysis__indirect_related_contract_validity,judicial_analysis__reasons_for_invalidity_or_no_protection,judicial_analysis__cited_laws,judicial_analysis__cited_policies,judicial_analysis__policy_labels,judicial_analysis__judicial_framing,llm_summary__outcome_summary,llm_summary__reasoning_summary,low_confidence_fields
cf348669-e2bb-415b-9214-aee501815c9e,ok,deepseek-v4-pro,0,258756.16,借款本金,（2022）鲁0214民初8237号,青岛市城阳区人民法院,基层法院,2022-06-06,,山东,判决书,民事,民间借贷纠纷,一审,0,"[""自然人""]","[""自然人""]",1,"[""USDT""]","[""交易所交易"",""委托理财/代投""]",民间借贷,未明确,未明确,不适用,不适用,有效,[],"[""《中华人民共和国民法典》第五百零九条"",""《中华人民共和国民法典》第五百七十七条"",""《中华人民共和国民法典》第五百七十九条"",""《中华人民共和国民事诉讼法》第一百四十七条""]",[],[],"[""返还本金""]",支持返还欠款,法院认为欠条系被告真实意思表示，合法有效，被告未按约还款构成违约，应承担还款责任。,[]
abfabf69-93f3-42df-9b9e-af1e0021659a,ok,deepseek-v4-pro,0,200000,借款本金,（2022）冀04民终2747号,河北省邯郸市中级人民法院,中级法院,2022-08-25,,河北,判决书,民事,民间借贷纠纷,二审,1,"[""自然人""]","[""自然人""]",1,"[""幸福一百""]","[""其他""]",民间借贷,未明确,不适用,不适用,不适用,不适用,[],"[""《中华人民共和国民法典》第六条"",""《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二十五条第一款"",""《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二十八条第一款"",""《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第三十一条"",""《中华人民共和国民事诉讼法》第六十四条第一款"",""《中华人民共和国民事诉讼法》第一百四十四条"",""《中华人民共和国民事诉讼法》第一百七十七条第一款第三项""]",[],[],"[""返还本金""]",部分改判，支持返还部分本金及利息,法院认定双方民间借贷关系成立，但约定利息超过年利率36%的部分无效，应折抵本金，并重新计算了尚欠本金及利息。,[]
b42dedb0-ed5f-4f52-8ba5-b2080010b16c,ok,deepseek-v4-pro,0,40000,签约费,（2023）辽0102民初22417号,沈阳市和平区人民法院,基层法院,2024-02-04,,辽宁,判决书,民事,合同纠纷,一审,0,"[""法人""]","[""自然人""]",1,"[""虚拟货币""]","[""其他""]",合同纠纷,未明确,不适用,未明确,不适用,有效,[],"[""《中华人民共和国民法典》第四百六十五条第一款"",""《中华人民共和国民法典》第五百零九条"",""《中华人民共和国民法典》第五百六十三条"",""《中华人民共和国民法典》第五百六十五条"",""《中华人民共和国民法典》第五百六十六条第一款"",""《中华人民共和国民法典》第五百七十七条"",""《中华人民共和国民事诉讼法》第六十七条第一款"",""《中华人民共和国民事诉讼法》第一百四十七条"",""《最高人民法院关于适用〈中华人民共和国民事诉讼法〉的解释》第九十条""]",[],[],"[""返还本金""]",支持返还签约费及部分违约金,合同有效，被告单方停止直播构成违约，导致合同目的无法实现，应承担违约责任，返还签约费并支付违约金。,[]
6b1b3870-0aa0-42ba-9e62-aea101806029,ok,deepseek-v4-pro,0,,,（2022）鲁0991民初438号,泰安高新技术产业开发区人民法院,基层法院,2022-04-21,,山东,判决书,民事,著作权权属纠纷,一审,0,"[""法人""]","[""法人""]",0,[],[],著作权侵权,未明确,不适用,不适用,不适用,不适用,[],"[""《中华人民共和国著作权法》第三条第四项"",""《中华人民共和国著作权法》第十条第一款"",""《中华人民共和国著作权法》第五十三条第（一）项"",""《中华人民共和国著作权法》第五十四条第一、二、三款"",""《最高人民法院关于审理著作权民事纠纷案件适用法律若干问题的解释》第七条"",""《最高人民法院关于审理著作权民事纠纷案件适用法律若干问题的解释》第二十五条第一款"",""《中华人民共和国民事诉讼法》第六十七条"",""《中华人民共和国民事诉讼法》第一百四十七条""]",[],[],"[""其他""]",部分支持原告诉请，判令被告停止侵权并赔偿2800元,法院认定原告享有涉案美术作品著作权，被告未经许可销售侵权商品，构成著作权侵权，应承担停止侵权、赔偿损失的责任。赔偿数额综合考虑作品知名度、被告经营规模、侵权行为性质及后果、原告合理开支等因素酌情确定。,[]
f162377f-15e0-4202-bf3a-b15700c779ae,ok,deepseek-v4-pro,0,417007.5,原告诉请本金,（2023）浙0106民初6549号,杭州市西湖区人民法院,基层法院,2024-01-29,,浙江,判决书,民事,损害公司债权人利益责任纠纷,一审,0,"[""法人""]","[""自然人""]",1,"[""虚拟货币""]","[""其他""]",其他,未明确,不适用,未明确,不适用,未明确,[],"[""《中华人民共和国公司法》第三条"",""《最高人民法院关于适用〈中华人民共和国公司法〉若干问题的规定(三)》第十三条第二款"",""《最高人民法院关于适用〈中华人民共和国公司法〉若干问题的规定(三)》第十八条第一款"",""《中华人民共和国民事诉讼法》第六十七条"",""《中华人民共和国民事诉讼法》第一百四十七条""]",[],[],"[""其他""]",支持原告诉讼请求,法院认为B公司不能清偿债务且具备破产原因，股东出资期限加速到期，未履行出资义务的股东应在未出资范围内承担补充赔偿责任，受让人明知未出资仍受让股权应承担连带责任。,"[""case_amount"",""case_amount_type"",""indirect_transaction_legality_assessment"",""indirect_related_contract_validity"",""judicial_framing""]"
0d9fe91f-2205-4c7a-9ba3-abcd009bc201,ok,deepseek-v4-pro,0,12700,返还本金,（2020）浙1123民初494号,遂昌县人民法院,基层法院,2020-05-18,,浙江,判决书,民事,委托合同纠纷,一审,0,"[""自然人""]","[""自然人""]",1,"[""比特币""]","[""挖矿"",""委托理财/代投""]",委托合同,未明确,合法有效,不适用,有效,不适用,[],"[""《中华人民共和国合同法》第一百零七条"",""《中华人民共和国合同法》第三百九十六条"",""《中华人民共和国合同法》第四百零四条"",""《最高人民法院关于适用〈中华人民共和国婚姻法〉若干问题的解释（二）》第二十五条第一款"",""《最高人民法院关于审理涉及夫妻债务纠纷案件适用法律有关问题的解释》第一条""]",[],[],"[""返还本金""]",支持返还本金,法院认定原被告及第三人存在委托合同关系，该合同未违反法律禁止性规定，应认定有效。被告未将处理委托事务取得的财产转交原告，构成违约，应返还相应价款。债务发生于夫妻关系存续期间，基于共同意思表示，认定为夫妻共同债务。,[]
8fa328d6-c90f-424f-91de-ac160116c93e,ok,deepseek-v4-pro,0,10000,其他,（2020）豫01知民初348号,河南省郑州市中级人民法院,中级法院,2020-06-29,,河南,判决书,民事,侵害外观设计专利权纠纷,一审,0,"[""自然人""]","[""法人"",""自然人""]",0,[],[],侵害外观设计专利权,未明确,不适用,不适用,不适用,不适用,"[""证据不足""]","[""《中华人民共和国专利法》第十一条"",""《中华人民共和国专利法》第五十九条"",""《中华人民共和国专利法》第六十五条"",""《最高人民法院关于审理侵犯专利权纠纷案件应用法律若干问题的解释》第八条"",""《最高人民法院关于审理侵犯专利权纠纷案件应用法律若干问题的解释》第十条"",""《最高人民法院关于审理侵犯专利权纠纷案件应用法律若干问题的解释》第十一条"",""《中华人民共和国电子商务法》第四十二条"",""《最高人民法院关于审理专利纠纷案件适用法律问题的若干规定》第二十四条"",""《中华人民共和国民事诉讼法》第六十四条""]",[],[],"[""证据不足""]",部分支持，判令停止侵权、删除链接并赔偿1万元，驳回其他诉请。,法院认定被诉侵权产品落入涉案外观设计专利保护范围，构成侵权，判令停止侵权并赔偿。因原告未提供证据证明制造行为及库存，该部分诉请因证据不足被驳回。,[]
3590313c-81f1-4fb7-91a1-ac8f0087917c,ok,deepseek-v4-pro,0,93000,投资款,（2020）川1323民初1292号,蓬安县人民法院,基层法院,2020-09-30,,四川,判决书,民事,委托理财合同纠纷,一审,0,"[""自然人""]","[""自然人""]",1,"[""易物点"",""M币""]","[""委托理财/代投"",""传销""]",委托合同,未明确,未明确,未明确,未明确,未明确,[],"[""《中华人民共和国合同法》第四百零六条"",""《最高人民法院关于审理涉及夫妻债务纠纷案件适用法律有关问题的解释》第三条""]",[],[],"[""返还本金"",""其他""]",部分支持返还投资款,法院认定双方形成委托理财关系，被告未投资部分应返还；已投资部分因被告重大过错（投资传销平台）和原告自身过错，酌情由被告赔偿70%投资款。,"[""direct_transaction_legality_assessment"",""indirect_transaction_legality_assessment"",""direct_related_contract_validity"",""indirect_related_contract_validity""]"
71317645-266b-491a-ad6b-ad75017fb809,ok,deepseek-v4-pro,0,40000,投资款,（2020）苏0303民初4672号,徐州市云龙区人民法院,基层法院,2021-06-15,,江苏,判决书,民事,委托合同纠纷,一审,0,"[""自然人""]","[""自然人""]",1,"[""以太坊数字货币"",""以太币""]","[""委托理财/代投"",""交易所交易""]",委托合同,未明确,未明确,不适用,有效,不适用,[],"[""《中华人民共和国合同法》第六十条"",""《中华人民共和国合同法》第三百九十六条"",""《中华人民共和国合同法》第四百零四条""]",[],[],"[""返还本金""]",支持返还本金,法院认定原告与被告王某1之间成立委托合同关系，王某1未能举证证明其已完成委托事务，故应返还委托款40000元并支付利息。,[]
b8e7b731-af86-4e88-94d6-a9cd00119296,ok,deepseek-v4-pro,0,49120,返还本金,（2018）京03民终539号,北京市第三中级人民法院,中级法院,2018-12-29,,北京,判决书,民事,合同纠纷,二审,1,"[""自然人""]","[""法人""]",1,"[""映客虚拟币"",""钻石"",""映币""]","[""买卖/兑换""]",买卖合同,未明确,未明确,不适用,部分有效,不适用,"[""请求权基础不成立""]","[""《中华人民共和国合同法》第四十七条"",""《中华人民共和国民事诉讼法》第一百七十条第一款第二项""]",[],[],"[""返还本金"",""请求权基础不成立""]",部分支持返还本金,法院认为，郑某某为限制行为能力人，其与蜜莱坞公司之间的网络消费合同效力需分段认定：2016年4月5日前，刘某1对郑某某的大额消费采取放任态度，构成默认，合同不宜认定无效；2016年4月5日至5月26日，刘某1虽采取措施但未向蜜莱坞公司声明，合同亦不宜认定无效；2016年5月26日发送律师函后，蜜莱坞公司未及时暂停交易，合同无效，应返还该阶段款项49120元。,[]
