activity_group,rows,validity_n,invalid_n,invalid_rate,amount_n,amount_mean,amount_median,llm_amount_n,regex_amount_n
委托理财/代投,1680,1578,858.0,0.5437262357414449,1678,316716.5423306973,105000.0,1644,1678
未分类,4111,1221,244.0,0.19983619983619982,4091,120331295.8205734,155802.04,3921,4090
发币/ICO,1034,620,547.0,0.882258064516129,1033,84391708.47825266,243412.0,967,1033
虚拟货币借贷,731,620,201.0,0.3241935483870968,728,2437215.9856181317,106050.0,695,728
挖矿,846,471,209.0,0.4437367303609342,844,3729018.2704135072,124925.0,829,844
其他,1091,414,186.0,0.4492753623188406,1090,346051223.29193306,194464.035,1051,1090
场外交易(OTC),989,246,181.0,0.7357723577235772,987,92531766.12470232,237200.0,962,987
虚拟货币投资,282,191,90.0,0.4712041884816754,282,9842434.195815604,150870.0,281,281
买卖合同,99,98,49.0,0.5,99,308318.1802020202,90000.0,97,99
技术服务,687,95,40.0,0.42105263157894735,686,5008215.728061224,260117.0,665,686
虚拟货币交易,381,81,54.0,0.6666666666666666,381,6087562.342238845,298997.68,375,381
交易所炒币,204,79,49.0,0.620253164556962,203,20463704.097580295,360000.0,197,203
