cause_group,rows,validity_n,invalid_n,invalid_rate,amount_n,amount_mean,amount_median,llm_amount_n,regex_amount_n
民间借贷纠纷,1841,1774,629.0,0.35456595264937996,1839,310462.5232137031,100000.0,1826,1839
合同纠纷,1003,986,483.0,0.4898580121703854,1001,470466.6963136863,96000.0,976,1001
其他,2131,925,318.0,0.34378378378378377,2115,33107561.161404252,100000.0,1987,2113
买卖合同纠纷,463,456,227.0,0.49780701754385964,463,569332.7712634989,100000.0,457,463
委托合同纠纷,417,409,192.0,0.46943765281173594,417,574850.2533115348,100000.0,406,417
不当得利纠纷,429,247,190.0,0.7692307692307693,428,209823.12992990654,70000.0,418,428
网络服务合同纠纷,179,174,14.0,0.08045977011494253,179,181501.8336312849,20000.0,169,179
委托理财合同纠纷,161,158,101.0,0.6392405063291139,161,303667.6692546584,104193.0,156,161
组织、领导传销活动罪,711,154,154.0,1.0,711,315478971.5259001,1254000.0,616,711
诈骗罪,1041,126,126.0,1.0,1039,6918560.106934552,277110.0,1008,1039
民间委托理财合同纠纷,114,113,86.0,0.7610619469026548,114,312785.8821929825,107127.2,113,114
非法吸收公众存款罪,171,85,85.0,1.0,171,99674842.83,8000000.0,169,171
帮助信息网络犯罪活动罪,921,40,40.0,1.0,914,6951029.503078775,805997.5,896,914
开设赌场罪,914,26,25.0,0.9615384615384616,913,798077996.3892232,1300000.0,894,913
掩饰、隐瞒犯罪所得、犯罪所得收益罪,800,24,24.0,1.0,800,12069483.4871975,300000.0,794,800
