variable,nonmissing,coverage
doc_id,12135,1.0
date_for_analysis,12133,0.999835187474248
year,12133,0.999835187474248
court_name,12097,0.9968685620107128
index_court_name,12130,0.99958796868562
index_case_cause,12067,0.9943963741244335
activity_type,8024,0.6612278533168521
contract_validity,5714,0.47086938607334156
contract_invalid,5714,0.47086938607334156
amount_master_cny,12102,0.9972805933250927
llm_top_case_amount_cny,11684,0.9628347754429336
regex_text_amount_max_cny,12100,0.9971157807993407
region_province,12103,0.9973629995879687
region_city,11501,0.9477544293366296
