region_province_group,rows,validity_n,invalid_n,invalid_rate,amount_n,amount_mean,amount_median,llm_amount_n,regex_amount_n
广东,1393,764,298.0,0.3900523560209424,1383,7783239.748458865,120000.0,1326,1383
其他,1624,698,353.0,0.505730659025788,1619,43214187.16358975,149416.0,1560,1619
山东,754,488,302.0,0.6188524590163934,753,10188655.330409031,90000.0,731,753
浙江,1176,436,192.0,0.44036697247706424,1175,44972874.64085063,255000.0,1150,1174
北京,467,309,78.0,0.2524271844660194,467,8214027.113875804,116000.0,435,467
湖南,902,305,186.0,0.6098360655737705,902,54916203.37572505,235454.0,872,902
江苏,566,302,147.0,0.4867549668874172,565,29373273.053601768,186130.0,553,565
福建,712,301,129.0,0.42857142857142855,711,18155934.7278481,315000.0,695,711
四川,544,296,150.0,0.5067567567567568,544,5622746.574411765,180500.0,521,544
河南,814,291,171.0,0.5876288659793815,814,870725687.6926142,190964.035,787,814
上海,535,250,110.0,0.44,534,4770361.966910113,200000.0,495,533
湖北,401,205,114.0,0.5560975609756098,399,6963928.777385965,130000.0,391,399
辽宁,320,188,74.0,0.39361702127659576,320,2643058.16375,100000.0,316,320
云南,267,180,58.0,0.32222222222222224,267,4479158.414756554,80000.0,257,267
陕西,348,175,99.0,0.5657142857142857,345,3580792.7026057974,140000.0,334,345
安徽,405,163,75.0,0.4601226993865031,405,4581118.653814321,138272.0,391,405
江西,376,158,69.0,0.43670886075949367,375,7093858.504093333,170000.0,368,375
广西,248,103,50.0,0.4854368932038835,246,26386733.25796748,198249.8,236,246
河北,283,102,53.0,0.5196078431372549,278,397796253.44442445,106500.0,266,278
