doc_id,raw_court_for_region,raw_case_number_for_region,region_province,region_city,region_district,region_adcode,region_macro,region_source
0004eca6-287f-431c-968c-ac5c00be4303,宁波市海曙区人民法院,（2020）浙0203刑初680号,浙江,宁波市,海曙区,330203,东部,cpca_court
00088cd3-9fe7-49a2-ba74-b23000314424,湖南省岳阳市岳阳楼区人民法院,（2023）湘0602刑初166号,湖南,岳阳市,岳阳楼区,430602,中部,cpca_court
0014061e-e139-439b-b45a-a9c200d071bd,南京市鼓楼区人民法院,(2018)苏0106刑初401号,江苏,南京市,鼓楼区,320106,东部,cpca_court
0019e48c-7aae-4794-a924-aaee008db447,双峰县人民法院,(2019)湘1321刑初62号,湖南,娄底市,双峰县,431321,中部,cpca_court
001deda5-d5be-4464-8fc7-b126015526e1,新乡县人民法院,（2023）豫0721民初1998号,河南,新乡市,新乡县,410721,中部,cpca_court
00284eb4-ed66-468e-89f4-ac6a0019ef30,四川省乐山市中级人民法院,(2020)川11民终1067号,四川,乐山市,,511100,西部,cpca_court
003459f4-1751-46cc-9d9c-ae82008cf150,武汉市汉阳区人民法院,(2021)鄂0105民初11121号,湖北,武汉市,汉阳区,420105,中部,cpca_court
00354bf2-f53b-476f-b505-ab35011ef218,乌鲁木齐铁路运输法院,(2019)新7101民初749号,新疆,乌鲁木齐市,,650100,西部,cpca_court
003560b3-b4f4-4793-8a27-ae040104843e,深圳市罗湖区人民法院,(2021)粤0303民初21484号,广东,深圳市,罗湖区,440303,东部,cpca_court
003b58f2-39b6-435e-9492-a85100b0af2d,舟山市定海区人民法院,(2017)浙0902刑初316号,浙江,舟山市,定海区,330902,东部,cpca_court
00480131-7b71-495c-b33f-b20d01432e9d,井研县人民法院,(2023)川1124民初1593号,四川,乐山市,井研县,511124,西部,cpca_court
0051f4d9-e45b-4084-be3e-ac5b00a74f9b,山东省枣庄市中级人民法院,(2020)鲁04民终2928号,山东,枣庄市,,370400,东部,cpca_court
00568c00-d718-4376-a780-aff10015beb9,沙洋县人民法院,（2022）鄂0822刑初120号,湖北,荆门市,沙洋县,420822,中部,cpca_court
00625ad3-2104-47fe-8fbe-adac00e111f5,常宁市人民法院,（2021）湘0482民初2219号,湖南,衡阳市,常宁市,430482,中部,cpca_court
00769a6e-cb03-46d4-abf4-acc600b68a60,浙江省金华市中级人民法院,(2020)浙07行终946号,浙江,金华市,,330700,东部,cpca_court
007723ea-379a-40ba-9725-ace200b896f2,濮阳市华龙区人民法院,(2020)豫0902刑初429号,河南,濮阳市,华龙区,410902,中部,cpca_court
007a3a11-a762-4486-b915-a7da0010c5df,海淀区人民法院,(2017)京0108民初22621号,北京,市辖区,海淀区,110108,东部,cpca_court
0081fe44-39a9-448c-a965-b22100164ff7,武汉市武昌区人民法院,(2024)鄂0106民初9729号,湖北,武汉市,武昌区,420106,中部,cpca_court
0082727d-3655-471e-af30-ae9b00405d03,广东省茂名市中级人民法院,(2021)粤09民初80号,广东,茂名市,,440900,东部,cpca_court
0085de59-2374-4694-8043-ae4900c61445,嘉兴市秀洲区人民法院,(2020)浙0411民初4423号,浙江,嘉兴市,秀洲区,330411,东部,cpca_court
00899652-010c-4ec1-8c35-aa790175c510,山东省德州市中级人民法院,(2019)鲁14民终1009号,山东,德州市,,371400,东部,cpca_court
00913bd1-2a4f-4c5d-b92e-af5000357917,广东省佛山市中级人民法院,(2022)粤06民终10050号,广东,佛山市,,440600,东部,cpca_court
0092aa11-6f60-4026-bbac-ae7c01014e6b,孟州市人民法院,(2021)豫0883民初3451号,河南,焦作市,孟州市,410883,中部,cpca_court
0092ebed-18ef-4fe4-9052-b0fb00cac6aa,江华瑶族自治县人民法院,（2023）湘1129刑初472号,湖南,永州市,江华瑶族自治县,431129,中部,cpca_court
00933878-740d-4d23-b3e0-aa5300c22d0a,河南省许昌市中级人民法院,（2019）豫10民终746号,河南,许昌市,,411000,中部,cpca_court
00975cc0-642b-4b1c-9ed7-aef700227d91,辽宁省沈阳市中级人民法院,(2022)辽01民终9482号,辽宁,沈阳市,,210100,东北,cpca_court
009f8c7e-17af-483b-a6d8-a9bc003c76f5,北京市第一中级人民法院,（2018）京01民终9579号,北京,,,110000,东部,cpca_court
00a43770-3ba6-489d-a996-b1af00c618e8,象山县人民法院,（2024）浙0225刑初227号,浙江,宁波市,象山县,330225,东部,cpca_court
