year,rows,validity_n,invalid_n,invalid_rate,amount_n,amount_mean,amount_median,llm_amount_n,regex_amount_n
2021.0,2253,1130,519.0,0.4592920353982301,2251,5175176.106407197,200000.0,2190,2250
2020.0,2050,1038,484.0,0.4662813102119461,2041,35916799.64090985,200000.0,1962,2041
2022.0,1305,819,406.0,0.49572649572649574,1302,8720404.633993857,138085.96000000002,1268,1302
2024.0,1559,729,399.0,0.5473251028806584,1557,400640834.40704685,129017.0,1514,1557
2019.0,1455,693,342.0,0.4935064935064935,1451,75795850.58454755,148386.0,1391,1450
2023.0,1398,681,345.0,0.5066079295154186,1394,69069681.2832066,150000.0,1357,1394
2018.0,871,315,120.0,0.38095238095238093,867,143256218.18292293,150000.0,809,867
2017.0,562,169,56.0,0.33136094674556216,559,12486373.481896244,80000.0,537,559
2016.0,273,59,16.0,0.2711864406779661,272,18111550.791323528,139368.14500000002,262,272
2014.0,149,35,8.0,0.22857142857142856,149,11297729.93604027,250000.0,145,149
2015.0,177,22,5.0,0.22727272727272727,177,9376845.723256553,283908.0,168,177
2013.0,41,13,4.0,0.3076923076923077,41,3450165.354878049,110000.0,41,41
2025.0,13,7,2.0,0.2857142857142857,12,12302357.101666667,237959.13,12,12
2012.0,6,2,0.0,0.0,6,5337599.0,13905.0,6,6
2011.0,4,1,1.0,1.0,4,189843.5,7870.0,4,4
,2,1,1.0,1.0,2,206854.25,206854.25,1,2
2010.0,17,0,0.0,,17,1376.4705882352941,1500.0,17,17
