region_province,rows,validity_n,invalid_n,invalid_rate,amount_n,amount_median,llm_amount_n,regex_amount_n
广东,730,730,266.0,0.3643835616438356,730,123381.0,715,730
山东,466,466,281.0,0.6030042918454935,466,56364.0,457,466
浙江,374,374,138.0,0.3689839572192513,374,138459.91,371,374
北京,304,304,73.0,0.24013157894736842,304,146581.725,284,304
江苏,287,287,133.0,0.4634146341463415,287,140499.0,285,287
福建,275,275,103.0,0.37454545454545457,275,97248.89,269,275
四川,268,268,122.0,0.4552238805970149,268,150000.0,263,268
湖南,243,243,124.0,0.5102880658436214,243,69000.0,238,243
河南,240,240,121.0,0.5041666666666667,240,60000.0,235,240
上海,217,217,80.0,0.3686635944700461,217,143500.0,206,217
湖北,191,191,100.0,0.5235602094240838,191,81450.0,190,191
辽宁,177,177,63.0,0.3559322033898305,177,80000.0,175,177
云南,175,175,53.0,0.3028571428571429,175,80000.0,173,175
陕西,156,156,80.0,0.5128205128205128,154,100000.0,151,154
安徽,141,141,53.0,0.375886524822695,141,98740.0,138,141
江西,138,138,49.0,0.35507246376811596,137,90000.0,137,137
重庆,100,100,46.0,0.46,100,100000.0,99,100
吉林,99,99,30.0,0.30303030303030304,99,64666.67,95,99
广西,98,98,45.0,0.45918367346938777,97,110339.0,95,97
新疆,87,87,49.0,0.5632183908045977,87,128100.0,86,87
河北,81,81,32.0,0.3950617283950617,81,54000.0,81,81
内蒙古,70,70,27.0,0.38571428571428573,70,100000.0,70,70
黑龙江,61,61,18.0,0.29508196721311475,61,70000.0,59,61
山西,38,38,15.0,0.39473684210526316,38,83925.0,37,38
贵州,35,35,14.0,0.4,35,66200.0,35,35
天津,33,33,17.0,0.5151515151515151,33,100000.0,31,33
宁夏,22,22,15.0,0.6818181818181818,22,33250.0,21,22
甘肃,22,22,14.0,0.6363636363636364,22,68867.5,22,22
,13,13,4.0,0.3076923076923077,13,106770.0,13,13
青海,12,12,5.0,0.4166666666666667,12,183050.0,12,12
海南,7,7,3.0,0.42857142857142855,7,68000.0,7,7
