year,rows,validity_n,invalid_n,invalid_rate,amount_n,amount_median,llm_amount_n,regex_amount_n
2021.0,1026,1026,416.0,0.40545808966861596,1026,106250.0,1001,1026
2020.0,866,866,312.0,0.36027713625866054,866,118038.86499999999,850,866
2022.0,788,788,375.0,0.47588832487309646,787,100000.0,769,787
2024.0,681,681,351.0,0.5154185022026432,679,90000.0,669,679
2019.0,637,637,287.0,0.45054945054945056,636,74100.0,631,636
2023.0,631,631,295.0,0.4675118858954041,631,100000.0,620,631
2018.0,278,278,83.0,0.29856115107913667,278,100000.0,262,278
2017.0,151,151,39.0,0.2582781456953642,151,80000.0,151,151
2016.0,54,54,11.0,0.2037037037037037,54,78056.5,53,54
2014.0,31,31,4.0,0.12903225806451613,31,50000.0,28,31
2015.0,17,17,0.0,0.0,17,37300.0,16,17
