group_variable,group,pre2021_n,post2021_n,pre2021_invalid_rate,post2021_invalid_rate,diff_post_minus_pre
transaction_type,借贷,427.0,687.0,0.22482435597189696,0.24599708879184862,0.021172732819951662
transaction_type,投资/理财,645.0,1194.0,0.4046511627906977,0.5946398659966499,0.18998870320595218
transaction_type,交易/买卖,251.0,415.0,0.3745019920318725,0.5228915662650603,0.14838957423318777
transaction_type,ICO/发币,258.0,175.0,0.8565891472868217,0.7942857142857143,-0.06230343300110741
transaction_type,挖矿,91.0,182.0,0.0989010989010989,0.5769230769230769,0.478021978021978
transaction_type,技术服务,102.0,127.0,0.049019607843137254,0.13385826771653545,0.0848386598733982
transaction_type,其他民商事,198.0,261.0,0.18181818181818182,0.23754789272030652,0.055729710902124696
transaction_type,其他/未分类,47.0,79.0,0.1276595744680851,0.189873417721519,0.062213843253433904
transaction_type,未分类,15.0,6.0,0.5333333333333333,0.5,-0.033333333333333326
amount_quartile,Q1最低,615.0,819.0,0.4146341463414634,0.46153846153846156,0.04690431519699817
amount_quartile,Q2,639.0,1094.0,0.3348982785602504,0.4524680073126143,0.11756972875236388
amount_quartile,Q3,541.0,900.0,0.37153419593345655,0.47555555555555556,0.10402135962209902
amount_quartile,Q4最高,237.0,309.0,0.27848101265822783,0.4368932038834951,0.15841219122526728
amount_quartile,missing,2.0,4.0,0.0,0.25,0.25
region_macro,东北,127.0,210.0,0.2125984251968504,0.4,0.18740157480314962
region_macro,东部,1168.0,1606.0,0.3578767123287671,0.44084682440846823,0.08297011207970112
region_macro,中部,415.0,576.0,0.4072289156626506,0.5086805555555556,0.10145163989290495
region_macro,未映射,4.0,9.0,0.0,0.4444444444444444,0.4444444444444444
region_macro,西部,320.0,725.0,0.38125,0.48,0.09875
region_big4,0,1366.0,2169.0,0.410688140556369,0.4863992623328723,0.0757111217765033
region_big4,1,668.0,957.0,0.2619760479041916,0.3991640543364681,0.13718800643227652
