field,master_column,tp,fp,fn,gold_support,precision,recall,f1,compared_docs
case_amount,case_amount,75,41,34,109,0.646551724137931,0.6880733944954128,0.6666666666666666,122
metadata.case_number,case_number,122,0,0,122,1.0,1.0,1.0,122
metadata.court_name,court_name,119,3,3,122,0.9754098360655737,0.9754098360655737,0.9754098360655737,122
metadata.court_level,court_level,99,23,23,122,0.8114754098360656,0.8114754098360656,0.8114754098360656,122
metadata.judgment_date,judgment_date,122,0,0,122,1.0,1.0,1.0,122
metadata.first_instance_case_number,first_instance_case_number,0,6,0,0,0.0,0.0,0.0,122
metadata.region,region,0,0,122,122,0.0,0.0,0.0,122
metadata.doc_type,doc_type,0,0,122,122,0.0,0.0,0.0,122
case_profile.case_type_primary,case_type_primary,0,0,122,122,0.0,0.0,0.0,122
case_profile.case_type_secondary,case_type_secondary,0,0,122,122,0.0,0.0,0.0,122
case_profile.procedure_stage,procedure_stage,121,1,1,122,0.9918032786885246,0.9918032786885246,0.9918032786885246,122
case_profile.is_appeal,is_appeal,122,0,0,122,1.0,1.0,1.0,122
case_profile.litigant_profile.plaintiff_types,plaintiff_types,0,0,118,118,0.0,0.0,0.0,122
case_profile.litigant_profile.defendant_types,defendant_types,0,0,130,130,0.0,0.0,0.0,122
virtual_currency_info.involved,vc_involved,0,0,122,122,0.0,0.0,0.0,122
virtual_currency_info.currency_types,currency_types,0,0,137,137,0.0,0.0,0.0,122
virtual_currency_info.activity_type,activity_type,26,57,77,103,0.3132530120481928,0.2524271844660194,0.2795698924731183,122
judicial_analysis.legal_characterization,legal_characterization,87,35,35,122,0.7131147540983607,0.7131147540983607,0.7131147540983606,122
judicial_analysis.virtual_currency_property_legality,vc_property_legality,0,0,98,98,0.0,0.0,0.0,122
judicial_analysis.contract_validity,contract_validity,37,20,2,39,0.6491228070175439,0.9487179487179487,0.7708333333333334,122
judicial_analysis.reason_for_invalidity,reason_for_invalidity,0,0,29,29,0.0,0.0,0.0,122
judicial_analysis.cited_laws,cited_laws,0,0,717,717,0.0,0.0,0.0,122
judicial_analysis.cited_policies,cited_policies,0,0,21,21,0.0,0.0,0.0,122
judicial_analysis.judicial_framing,judicial_framing,0,0,243,243,0.0,0.0,0.0,122
llm_summary.outcome_summary,outcome_summary,0,0,122,122,0.0,0.0,0.0,122
llm_summary.reasoning_summary,reasoning_summary,0,0,122,122,0.0,0.0,0.0,122
